admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Municipio San Francisco de Macorís,DO010101,Municipio San Francisco de Macoris,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Arenoso,DO010102,,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Castillo,DO010103,,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Pimentel,DO010104,,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Villa Riva,DO010105,,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Las Guáranas,DO010106,Municipio Las Guaranas,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Eugenio María de Hostos,DO010107,Municipio Eugenio Maria de Hostos,,,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Salcedo,DO010201,,,,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Tenares,DO010202,,,,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Villa Tapia,DO010203,,,,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Nagua,DO010301,,,,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Cabrera,DO010302,,,,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio El Factor,DO010303,,,,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Río San Juan,DO010304,Municipio Rio San Juan,,,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Samaná,DO010401,Municipio Samana,,,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Sánchez,DO010402,Municipio Sanchez,,,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Municipio Las Terrenas,DO010403,,,,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
