admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Asunción,PY00,,,,Paraguay,PY,2017-10-11,2020-09-16,
Concepción,PY01,,,,Paraguay,PY,2017-10-11,2020-09-16,
San Pedro,PY02,,,,Paraguay,PY,2017-10-11,2020-09-16,
Cordillera,PY03,,,,Paraguay,PY,2017-10-11,2020-09-16,
Guairá,PY04,,,,Paraguay,PY,2017-10-11,2020-09-16,
Caaguazú,PY05,,,,Paraguay,PY,2017-10-11,2020-09-16,
Caazapá,PY06,,,,Paraguay,PY,2017-10-11,2020-09-16,
Itapúa,PY07,,,,Paraguay,PY,2017-10-11,2020-09-16,
Misiones,PY08,,,,Paraguay,PY,2017-10-11,2020-09-16,
Paraguarí,PY09,,,,Paraguay,PY,2017-10-11,2020-09-16,
Alto Paraná,PY10,,,,Paraguay,PY,2017-10-11,2020-09-16,
Central,PY11,,,,Paraguay,PY,2017-10-11,2020-09-16,
Ñeembucú,PY12,,,,Paraguay,PY,2017-10-11,2020-09-16,
Amambay,PY13,,,,Paraguay,PY,2017-10-11,2020-09-16,
Canindeyú,PY14,,,,Paraguay,PY,2017-10-11,2020-09-16,
Presidente Hayes,PY15,,,,Paraguay,PY,2017-10-11,2020-09-16,
Boquerón,PY16,,,,Paraguay,PY,2017-10-11,2020-09-16,
Alto Paraguay,PY17,,,,Paraguay,PY,2017-10-11,2020-09-16,
