admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Northern,MW1,,,,Malawi,MW,2018-10-22,2020-02-20,
Central,MW2,,,,Malawi,MW,2018-10-22,2020-02-20,
Southern,MW3,,,,Malawi,MW,2018-10-22,2020-02-20,
