admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Alfred Nzo,ZA244,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Amajuba,ZA525,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Amathole,ZA212,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Bojanala,ZA637,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Buffalo City,ZA292,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Cacadu,ZA210,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Cape Winelands,ZA102,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Capricorn,ZA935,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Central Karoo,ZA105,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Chris Hani,ZA213,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
City of Cape Town,ZA191,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
City of Johannesburg,ZA798,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
City of Tshwane,ZA799,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Dr Kenneth Kaunda,ZA640,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Dr Ruth Segomotsi Mompati,ZA639,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Eden,ZA104,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Ehlanzeni,ZA832,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Ekurhuleni,ZA797,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
eThekwini,ZA595,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Fezile Dabi,ZA420,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Frances Baard,ZA309,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Gert Sibande,ZA830,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
iLembe,ZA529,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Joe Gqabi,ZA214,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
John Taolo Gaetsewe,ZA345,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Lejweleputswa,ZA418,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Mangaung,ZA494,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Mopani,ZA933,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Namakwa,ZA306,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Nelson Mandela Bay,ZA293,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Ngaka Modiri Molema,ZA638,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Nkangala,ZA831,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
O.R.Tambo,ZA215,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Overberg,ZA103,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Pixley ka Seme,ZA307,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Sedibeng,ZA742,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Sekhukhune,ZA947,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Sisonke,ZA543,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Thabo Mofutsanyane,ZA419,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Ugu,ZA521,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umgungundlovu,ZA522,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umkhanyakude,ZA527,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umzinyathi,ZA524,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Uthukela,ZA523,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Uthungulu,ZA528,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Vhembe,ZA934,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Waterberg,ZA936,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
West Coast,ZA101,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
West Rand,ZA748,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Xhariep,ZA416,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Z F Mgcawu,ZA308,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Zululand,ZA526,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
