admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Boffa Ctre,GN00100101,Boffa Ctre,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Douprou,GN00100102,Douprou,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Koba Tatema,GN00100103,Koba Tatema,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kolia,GN00100104,Kolia,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Lisso,GN00100105,Lisso,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Mankountan,GN00100106,Mankountan,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Tamita,GN00100107,Tamita,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Tougnifily,GN00100108,Tougnifily,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Bintimodia,GN00100201,Bintimodia,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Boke Ctre,GN00100202,Boke Ctre,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Dabiss,GN00100203,Dabiss,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kamsar,GN00100204,Kamsar,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kanfarande,GN00100205,Kanfarande,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kolaboui,GN00100206,Kolaboui,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Malapouya,GN00100207,Malapouya,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Sangaredi,GN00100208,Sangaredi,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Sansale,GN00100209,Sansale,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Tanene,GN00100210,Tanene,,,Boke,GN001002,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Foulamory,GN00100301,Foulamory,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Gaoual Ctre,GN00100302,Gaoual Ctre,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kakony,GN00100303,Kakony,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Koumbia,GN00100304,Koumbia,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kounsitel,GN00100305,Kounsitel,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Malanta,GN00100306,Malanta,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Touba,GN00100307,Touba,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Wendou Mbour,GN00100308,Wendou Mbour,,,Gaoual,GN001003,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Guinguan,GN00100401,Guinguan,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Kamabi,GN00100402,Kamabi,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Koundara Ctre,GN00100403,Koundara Ctre,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Sambailo,GN00100404,Sambailo,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Sareboido,GN00100405,Sareboido,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Termesse,GN00100406,Termesse,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Youkounkoun,GN00100407,Youkounkoun,,,Koundara,GN001004,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Baguinet,GN00100501,Baguinet,,,Fria,GN001005,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Banguigny,GN00100502,Banguigny,,,Fria,GN001005,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Fria Ctre,GN00100503,Fria Ctre,,,Fria,GN001005,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Tormelin,GN00100504,Tormelin,,,Fria,GN001005,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
