admin3Name_en,admin3Name_sq,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_sq,admin3AltName2_sq,admin2Name_en,admin2Name_sq,admin2Pcode,admin1Name_en,admin1Name_sq,admin1Pcode,admin0Name_en,admin0Name_sq,admin0Pcode,date,validOn,validTo
Berat,Berat,AL010101,,,,,,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Otllak,Otllak,AL010102,,,,,,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Roshnik,Roshnik,AL010103,,,,,,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Sinje,Sinjë,AL010104,,,,,,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Velabisht,Velabisht,AL010105,,,,,,Bashkia Berat,Bashkia Berat,AL0101,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kozare,Kozarë,AL010201,,,,,,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kucove,Kuçovë,AL010202,,,,,,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lumas,Lumas,AL010203,,,,,,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Perondi,Perondi,AL010204,,,,,,Bashkia Kucove,Bashkia Kuçovë,AL0102,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Polican,Poliçan,AL010301,,,,,,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Terpan,Tërpan,AL010302,,,,,,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Vertop,Vertop,AL010303,,,,,,Bashkia Polican,Bashkia Poliçan,AL0103,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bogove,Bogovë,AL010401,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Cepan,Çepan,AL010402,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Corovode,Çorovodë,AL010403,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjerbes,Gjerbes,AL010404,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Leshnje,Leshnjë,AL010405,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Potom,Potom,AL010406,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Qender,Qendër,AL010407,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Vendreshe,Vendreshë,AL010408,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zhepe,Zhepë,AL010409,,,,,,Bashkia Skrapar,Bashkia Skraparit,AL0104,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Cukalat,Cukalat,AL010501,,,,,,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kutalli,Kutalli,AL010502,,,,,,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Poshnje,Poshnjë,AL010503,,,,,,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Ura Vajgurore,Ura Vajgurorë,AL010504,,,,,,Bashkia Ura Vajgurore,Bashkia Ura Vajgurorë,AL0105,Berat,Berat,AL01,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bulqize,Bulqizë,AL020101,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fushe Bulqize,Fushë Bulqizë,AL020102,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjorice,Gjoricë,AL020103,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Martanesh,Martanesh,AL020104,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Ostren,Ostren,AL020105,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shupenze,Shupenzë,AL020106,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Trebisht,Trebisht,AL020107,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zerqan,Zerqan,AL020108,,,,,,Bashkia Bulqize,Bashkia Bulqizë,AL0201,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Arras,Arras,AL020201,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fushe Cidhen,Fushë Çidhen,AL020202,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kala e Dodes,Kala e Dodës,AL020203,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kastriot,Kastriot,AL020204,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lure,Lurë,AL020205,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Luzni,Luzni,AL020206,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Maqellare,Maqellarë,AL020207,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Melan,Melan,AL020208,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Muhurr,Muhurr,AL020209,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Peshkopi,Peshkopi,AL020210,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Qender Tomin,Qendër Tomin,AL020211,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Selishte,Selishtë,AL020212,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Sllove,Sllovë,AL020213,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zall Dardhe,Zall Dardhë,AL020214,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zall Rec,Zall Reç,AL020215,,,,,,Bashkia Diber,Bashkia Dibër,AL0202,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gurre,Gurrë,AL020301,,,,,,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Klos,Klos,AL020302,,,,,,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Suc,Suç,AL020303,,,,,,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Xiber,Xibër,AL020304,,,,,,Bashkia Klos,Bashkia Klos,AL0203,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Baz,Baz,AL020401,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Burrel,Burrel,AL020402,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Derjan,Derjan,AL020403,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Komsi,Komsi,AL020404,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lis,Lis,AL020405,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Macukull,Macukull,AL020406,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Rukaj,Rukaj,AL020407,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Ulez,Ulëz,AL020408,,,,,,Bashkia Mat,Bashkia Mat,AL0204,Diber,Dibër,AL02,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
