admin2Name_en,admin2Name_ka,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ka,admin2AltName2_ka,admin1Name_en,admin1Name_ka,admin1Pcode,admin0Name_en,admin0Name_ka,admin0Pcode,date,validOn,validTo
Batumi,ქ. ბათუმი,GE1511,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Keda,ქედის,GE1523,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kobuleti,ქობულეთის,GE1525,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Shuakhevi,შუახევის,GE1529,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Khelvachauri,ხელვაჩაურის,GE1532,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Khulo,სულოს,GE1535,,,,,,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Ozurgeti City,ქ. ოზურგეთი,GE2311,,,,,,Guria,გურია,GE23,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Lanchkhuti,ლანჩხუთის,GE2323,,,,,,Guria,გურია,GE23,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Ozurgeti,ოზურგეთის,GE2325,,,,,,Guria,გურია,GE23,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Chokhatauri,ჩოხატაურის,GE2327,,,,,,Guria,გურია,GE23,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kutaisi,ქ. ქუთაისი,GE2611,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Baghdati,ბაღდათის,GE2623,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Vani,ვანის,GE2627,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Zestaponi,ზესტაფონის,GE2629,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Terjola,თერჯოლის,GE2631,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Samtredia,სამტრედიის,GE2633,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
