admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020-03-18,2020-03-23,
Balé,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Nayala,BF4605,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Sourou,BF4606,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Comoé,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Léraba,BF4702,Leraba,,,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Koulpélogo,BF4802,Koulpelogo,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Kourittenga,BF4803,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Namentenga,BF4902,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Sanmatenga,BF4903,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Boulkiemdé,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Sanguié,BF5002,Sanguie,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Sissili,BF5003,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Ziro,BF5004,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Bazèga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Zoundwéogo,BF5103,Zoundweogo,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Komandjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Tapoa,BF5205,,,,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kénédougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Tuy,BF5303,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Passoré,BF5402,Passore,,,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Yatenga,BF5403,,,,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Zondoma,BF5404,,,,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Kourwéogo,BF5502,Kourweogo,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Oubritenga,BF5503,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Oudalan,BF5601,,,,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Séno,BF5602,Seno,,,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Soum,BF5603,,,,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Yagha,BF5604,,,,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Noumbiel,BF5703,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Poni,BF5704,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
