admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
District Autonome D'Abidjan,CI01,District Autonome DAbidjan,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
District Autonome De Yamoussoukro,CI02,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Agneby-Tiassa,CI03,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bafing,CI04,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bagoue,CI05,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Belier,CI06,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bere,CI07,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bounkani,CI08,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Cavally,CI09,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Folon,CI10,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gbeke,CI11,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gbokle,CI12,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Goh,CI13,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gontougo,CI14,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Grands Ponts,CI15,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Guemon,CI16,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Hambol,CI17,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Haut-Sassandra,CI18,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Iffou,CI19,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Indenie-Djuablin,CI20,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kabadougou,CI21,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Loh-Djiboua,CI22,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Marahoue,CI23,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Me,CI24,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Moronou,CI25,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Nawa,CI26,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
N'Zi,CI27,NZi,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Poro,CI28,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
San Pedro,CI29,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Sud-Comoe,CI30,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tchologo,CI31,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tonkpi,CI32,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Worodougou,CI33,,,,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
