admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Doteng,BT00803,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Hungrel,BT00804,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Lamgong,BT00805,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Lungnyi,BT00806,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Naja,BT00807,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Shapa,BT00808,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Tsento,BT00809,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Wangchang,BT00810,,,,Paro,BT008,Bhutan,BT,2019-02-01,2020-10-30,
Chhimung,BT00901,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Chokhorling,BT00902,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Chongshing,BT00903,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Dechhenling,BT00904,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Dungmin,BT00905,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Khar,BT00906,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Nanong,BT00907,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Norbugang,BT00908,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Shumer,BT00909,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Yurung,BT00910,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Zobel,BT00911,,,,Pemagatshel,BT009,Bhutan,BT,2019-02-01,2020-10-30,
Bapisa,BT01001,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Chhubu,BT01002,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
