admin1Name_en,admin1Name_ja,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ja,admin1AltName2_ja,admin0Name_en,admin0Name_ja,admin0Pcode,date,validOn,validTo
Hokkaido,北海道,JP01,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Aomori,青森県,JP02,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Iwate,岩手県,JP03,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Miyagi,宮城県,JP04,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Akita,秋田県,JP05,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Yamagata,山形県,JP06,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Fukushima,福島県,JP07,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Ibaraki,茨城県,JP08,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Tochigi,栃木県,JP09,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Gunma,群馬県,JP10,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Saitama,埼玉県,JP11,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Chiba,千葉県,JP12,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Tokyo,東京都,JP13,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kanagawa,神奈川県,JP14,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Niigata,新潟県,JP15,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Toyama,富山県,JP16,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Ishikawa,石川県,JP17,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Fukui,福井県,JP18,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Yamanashi,山梨県,JP19,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Nagano,長野県,JP20,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Gifu,岐阜県,JP21,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Shizuoka,静岡県,JP22,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Aichi,愛知県,JP23,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Mie,三重県,JP24,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Shiga,滋賀県,JP25,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kyoto,京都府,JP26,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Osaka,大阪府,JP27,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Hyōgo,兵庫県,JP28,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Nara,奈良県,JP29,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Wakayama,和歌山県,JP30,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Tottori,鳥取県,JP31,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Shimane,島根県,JP32,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Okayama,岡山県,JP33,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Hiroshima,広島県,JP34,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Yamaguchi,山口県,JP35,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Tokushima,徳島県,JP36,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kagawa,香川県,JP37,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Ehime,愛媛県,JP38,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kōchi,高知県,JP39,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Fukuoka,福岡県,JP40,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Saga,佐賀県,JP41,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Nagasaki,長崎県,JP42,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kumamoto,熊本県,JP43,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Ōita,大分県,JP44,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Miyazaki,宮崎県,JP45,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Kagoshima,鹿児島県,JP46,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
Okinawa,沖縄県,JP47,,,,,,Japan,日本,JP,2019-12-17,2019-12-19,
