admin1Name_en,admin1Name_tr,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_tr,admin1AltName2_tr,admin0Name_en,admin0Name_tr,admin0Pcode,date,validOn,validTo
Sanliurfa,Şanliurfa,TR063,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Usak,Uşak,TR064,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Van,Van,TR065,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yozgat,Yozgat,TR066,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Zonguldak,Zonguldak,TR067,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Aksaray,Aksaray,TR068,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bayburt,Bayburt,TR069,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karaman,Karaman,TR070,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kirikkale,Kirikkale,TR071,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Batman,Batman,TR072,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sirnak,Şirnak,TR073,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bartin,Bartin,TR074,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ardahan,Ardahan,TR075,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Igdir,Iğdir,TR076,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yalova,Yalova,TR077,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karabuk,Karabük,TR078,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kilis,Kilis,TR079,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Osmaniye,Osmaniye,TR080,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Duzce,Düzce,TR081,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
