admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Región Cibao Nordeste,DO01,Region Cibao Nordeste,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Cibao Noroeste,DO02,Region Cibao Noroeste,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Cibao Norte,DO03,Region Cibao Norte,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Cibao Sur,DO04,Region Cibao Sur,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región El Valle,DO05,Region El Valle,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Enriquillo,DO06,Region Enriquillo,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Higuamo,DO07,Region Higuamo,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Ozama,DO08,Region Ozama,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Valdesia,DO09,Region Valdesia,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
Región Yuma,DO10,Region Yuma,,,República Dominicana (la),DO,2017-09-06,2021-07-01,
