admin2Name_en,admin2Name_th,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_th,admin2AltName2_th,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Phra Nakhon,พระนคร,TH1001,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Dusit,ดุสิต,TH1002,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Chok,หนองจอก,TH1003,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Rak,บางรัก,TH1004,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khen,บางเขน,TH1005,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kapi,บางกะปิ,TH1006,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pathum Wan,ปทุมวัน,TH1007,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Khanong,พระโขนง,TH1009,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Min Buri,มีนบุรี,TH1010,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Krabang,ลาดกระบัง,TH1011,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Yan Nawa,ยานนาวา,TH1012,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samphanthawong,สัมพันธวงศ์,TH1013,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phaya Thai,พญาไท,TH1014,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thon Buri,ธนบุรี,TH1015,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bangkok Yai,บางกอกใหญ่,TH1016,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Huai Khwang,ห้วยขวาง,TH1017,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong San,คลองสาน,TH1018,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Taling Chan,ตลิ่งชัน,TH1019,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bangkok Noi,บางกอกน้อย,TH1020,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Thian,บางขุนเทียน,TH1021,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phasi Charoen,ภาษีเจริญ,TH1022,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Khaem,หนองแขม,TH1023,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Rat Burana,ราษฎร์บูรณะ,TH1024,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Phlat,บางพลัด,TH1025,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Din Daeng,ดินแดง,TH1026,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bueng Kum,บึงกุ่ม,TH1027,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sathon,สาทร,TH1028,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Sue,บางซื่อ,TH1029,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chatuchak,จตุจักร,TH1030,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kho Laem,บางคอแหลม,TH1031,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Prawet,ประเวศ,TH1032,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Toei,คลองเตย,TH1033,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suan Luang,สวนหลวง,TH1034,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chom Thong,จอมทอง,TH1035,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Don Mueang,ดอนเมือง,TH1036,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ratchathewi,ราชเทวี,TH1037,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Phrao,ลาดพร้าว,TH1038,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Vadhana,วัฒนา,TH1039,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khae,บางแค,TH1040,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lak Si,หลักสี่,TH1041,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sai Mai,สายไหม,TH1042,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khan Na Yao,คันนายาว,TH1043,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Saphan Sung,สะพานสูง,TH1044,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Thonglang,วังทองหลาง,TH1045,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sam Wa,คลองสามวา,TH1046,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Na,บางนา,TH1047,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thawi Watthana,ทวีวัฒนา,TH1048,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thung Khru,ทุ่งครุ,TH1049,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Bon,บางบอน,TH1050,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Samut Prakan,เมืองสมุทรปราการ,TH1101,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Bo,บางบ่อ,TH1102,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Phli,บางพลี,TH1103,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Pradaeng,พระประแดง,TH1104,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Samut Chedi,พระสมุทรเจดีย์,TH1105,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Sao Thong,บางเสาธง,TH1106,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Nonthaburi,เมืองนนทบุรี,TH1201,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kruai,บางกรวย,TH1202,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Yai,บางใหญ่,TH1203,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Bua Thong,บางบัวทอง,TH1204,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sai Noi,ไทรน้อย,TH1205,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pak Kret,ปากเกร็ด,TH1206,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Pathum Thani,เมืองปทุมธานี,TH1301,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Luang,คลองหลวง,TH1302,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thanyaburi,ธัญบุรี,TH1303,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Suea,หนองเสือ,TH1304,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Luk Ka,ลำลูกกา,TH1306,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sam Khok,สามโคก,TH1307,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH1401,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Ruea,ท่าเรือ,TH1402,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Luang,นครหลวง,TH1403,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Sai,บางไทร,TH1404,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Ban,บางบาล,TH1405,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Pa-In,บางปะอิน,TH1406,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Pahan,บางปะหัน,TH1407,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phak Hai,ผักไห่,TH1408,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
