admin1Name_en,admin1Name_si,admin1Name_ta,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_si,admin1AltName2_si,admin1AltName1_ta,admin1AltName2_ta,admin0Name_en,admin0Name_si,admin0Name_ta,admin0Pcode,date,validOn,validTo
Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Southern,දකුණු පළාත,தென் மாகாணம்,LK3,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Northern,උතුරු පළාත,வட மாகாணம்,LK4,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Uva,ඌව පළාත,ஊவா மாகாணம்,LK8,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Sabaragamuwa,සබරගමුව පළාත,சபரகமுவ மாகாணம்,LK9,,,,,,,,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
