admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Adjuntas,PR01,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Aguada,PR02,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Aguadilla,PR03,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Aguas Buenas,PR04,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Aibonito,PR05,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Añasco,PR06,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Arecibo,PR07,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Arroyo,PR08,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Barceloneta,PR09,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Barranquitas,PR10,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Bayamón,PR11,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Cabo Rojo,PR12,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Caguas,PR13,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Camuy,PR14,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Canóvanas,PR15,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Carolina,PR16,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Cataño,PR17,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Cayey,PR18,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Ceiba,PR19,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Ciales,PR20,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Cidra,PR21,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Coamo,PR22,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Comerío,PR23,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Corozal,PR24,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Culebra,PR25,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Dorado,PR26,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Fajardo,PR27,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Florida,PR28,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Guánica,PR29,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Guayama,PR30,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Guayanilla,PR31,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Guaynabo,PR32,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Gurabo,PR33,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Hatillo,PR34,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Hormigueros,PR35,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Humacao,PR36,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Isabela,PR37,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Jayuya,PR38,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Juana Díaz,PR39,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Juncos,PR40,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Lajas,PR41,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Lares,PR42,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Las Marías,PR43,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Las Piedras,PR44,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Loíza,PR45,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Luquillo,PR46,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Manatí,PR47,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Maricao,PR48,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Maunabo,PR49,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Mayagüez,PR50,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Moca,PR51,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Morovis,PR52,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Naguabo,PR53,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Naranjito,PR54,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Orocovis,PR55,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Patillas,PR56,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Peñuelas,PR57,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Ponce,PR58,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Quebradillas,PR59,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Rincón,PR60,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Río Grande,PR61,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Sabana Grande,PR62,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Salinas,PR63,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
San Germán,PR64,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
San Juan,PR65,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
San Lorenzo,PR66,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
San Sebastián,PR67,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Santa Isabel,PR68,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Toa Alta,PR69,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Toa Baja,PR70,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Trujillo Alto,PR71,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Utuado,PR72,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Vega Alta,PR73,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Vega Baja,PR74,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Vieques,PR75,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Villalba,PR76,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Yabucoa,PR77,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
Yauco,PR78,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
