admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ua,admin2AltName2_ua,admin2AltName1_ru,admin2AltName2_ru,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_ua,admin0Name_ru,admin0Pcode,date,validOn,validTo,admin2ClassCode,admin2ClassType,admin2PoliticalType,admin2pcode2016,admin1ClassType,admin1ClassCode
Simferopolska,Сімферопольська,Симферопольский,UA01101,Simferopolska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,110100000,область,81200000
Alushtynska,Алуштинська,Алуштинский,UA01103,Alushtynska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,110300000,область,81200000
Dzhankoiska,Джанкойська,Джанкойский,UA01106,Dzhankoiska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,110600000,область,81200000
Yevpatoriiska,Євпаторійська,Евпаторийский,UA01109,Yevpatoriiska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,110900000,область,81200000
Kerchenska,Керченська,Керченский,UA01112,Kerchenska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111200000,область,81200000
Krasnoperekopska,Красноперекопська,Красноперекопский,UA01113,Krasnoperekopska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111300000,область,81200000
Sakska,Сакська,Сакский,UA01114,Sakska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111400000,область,81200000
Armianska,Армянська,Армянский,UA01115,Armianska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111500000,область,81200000
Feodosiiska,Феодосійська,Феодосийский,UA01116,Feodosiiska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111600000,область,81200000
Sudatska,Судацька,Судакский,UA01117,Sudatska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111700000,область,81200000
Yaltynska,Ялтинська,Ялтинский,UA01119,Yaltynska,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,111900000,область,81200000
Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Bakhchysaraiskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,120400000,область,81200000
Bilohirskyi,Білогірський,Белогорский,UA01207,Bilohirskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,120700000,область,81200000
Dzhankoiskyi,Джанкойський,Джанкойский,UA01211,Dzhankoiskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,121100000,область,81200000
Kirovskyi,Кіровський,Кировский,UA01216,Kirovskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,121600000,область,81200000
