admin1Name_pt,admin1Pcode,admin1RefName,admin1AltName1_pt,admin1AltName2_pt,admin0Name_pt,admin0Pcode,date,validOn,validTo
Príncipe,ST01,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
São Tomé,ST02,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
