admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bubanza,BI001,Bubanza,,,Burundi,BI,2005-06-14,2017-11-03,
Bujumbura Rural,BI002,Bujumbura Rural,,,Burundi,BI,2005-06-14,2017-11-03,
Bururi,BI003,Bururi,,,Burundi,BI,2005-06-14,2017-11-03,
Cankuzo,BI004,Cankuzo,,,Burundi,BI,2005-06-14,2017-11-03,
Cibitoke,BI005,Cibitoke,,,Burundi,BI,2005-06-14,2017-11-03,
Gitega,BI006,Gitega,,,Burundi,BI,2005-06-14,2017-11-03,
Karuzi,BI007,Karuzi,,,Burundi,BI,2005-06-14,2017-11-03,
Kayanza,BI008,Kayanza,,,Burundi,BI,2005-06-14,2017-11-03,
Kirundo,BI009,Kirundo,,,Burundi,BI,2005-06-14,2017-11-03,
Makamba,BI010,Makamba,,,Burundi,BI,2005-06-14,2017-11-03,
Muramvya,BI011,Muramvya,,,Burundi,BI,2005-06-14,2017-11-03,
Muyinga,BI012,Muyinga,,,Burundi,BI,2005-06-14,2017-11-03,
Mwaro,BI013,Mwaro,,,Burundi,BI,2005-06-14,2017-11-03,
Ngozi,BI014,Ngozi,,,Burundi,BI,2005-06-14,2017-11-03,
Rutana,BI015,Rutana,,,Burundi,BI,2005-06-14,2017-11-03,
Ruyigi,BI016,Ruyigi,,,Burundi,BI,2005-06-14,2017-11-03,
Bujumbura Mairie,BI017,Bujumbura Mairie,,,Burundi,BI,2005-06-14,2017-11-03,
Rumonge,BI018,Rumonge,,,Burundi,BI,2015-08-23,2017-11-03,
