admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Abangares,CR0301,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Acosta,CR0701,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Aguirre,CR0601,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Alajuela,CR0101,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Alajuelita,CR0702,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Alvarado,CR0201,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Aserri,CR0703,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Atenas,CR0102,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Bagaces,CR0302,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Barva,CR0401,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
Belen,CR0402,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
Buenos Aires,CR0602,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Cañas,CR0303,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Carrillo,CR0304,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Cartago,CR0202,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Corredores,CR0603,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Coto Brus,CR0604,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Curridabat,CR0704,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Desamparados,CR0705,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Dota,CR0706,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
El Guarco,CR0203,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Escazu,CR0707,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Esparza,CR0605,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Flores,CR0403,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
Garabito,CR0606,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Goicoechea,CR0708,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Golfito,CR0607,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Grecia,CR0103,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Guacimo,CR0501,,,,Limón,CR05,Costa Rica,CR,2020-08-05,2020-08-06,
Guatuso,CR0104,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Heredia,CR0404,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
Hojancha,CR0305,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Jimenez,CR0204,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
La Cruz,CR0306,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
La Union,CR0205,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Leon Cortes,CR0709,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Liberia,CR0307,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Limon,CR0502,,,,Limón,CR05,Costa Rica,CR,2020-08-05,2020-08-06,
Los Chiles,CR0105,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Matina,CR0503,,,,Limón,CR05,Costa Rica,CR,2020-08-05,2020-08-06,
Montes de Oca,CR0710,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Montes de Oro,CR0608,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Mora,CR0711,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Moravia,CR0712,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Nandayure,CR0308,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Naranjo,CR0106,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Nicoya,CR0309,,,,Guanacaste,CR03,Costa Rica,CR,2020-08-05,2020-08-06,
Oreamuno,CR0206,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Orotina,CR0107,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Osa,CR0609,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Palmares,CR0108,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Paraiso,CR0207,,,,Cartago,CR02,Costa Rica,CR,2020-08-05,2020-08-06,
Parrita,CR0610,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Perez Zeledon,CR0713,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
Poas,CR0109,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
Pococi,CR0504,,,,Limón,CR05,Costa Rica,CR,2020-08-05,2020-08-06,
Puntarenas,CR0611,,,,Puntarenas,CR06,Costa Rica,CR,2020-08-05,2020-08-06,
Puriscal,CR0714,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
San Carlos,CR0110,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
San Isidro,CR0405,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
San Jose,CR0715,,,,San José,CR07,Costa Rica,CR,2020-08-05,2020-08-06,
San Mateo,CR0111,,,,Alajuela,CR01,Costa Rica,CR,2020-08-05,2020-08-06,
San Pablo,CR0406,,,,Heredia,CR04,Costa Rica,CR,2020-08-05,2020-08-06,
