admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Bandudato,TL020102,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Baricafa,TL090402,,,,Luro,TL0904,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Barique,TL110504,,,,Barique/Natarbora,TL1105,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Batara,TL110604,,,,Laclubar,TL1106,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Batugade,TL040306,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Batumanu,TL070406,,,,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Bauro,TL090101,,,,Lospalos,TL0901,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Beboi Leten,TL070412,,,,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Beco,TL050501,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Becora,TL060602,,,,Cristo Rei,TL0606,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Belecasac,TL050404,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Beloi,TL060403,,,,Atauro,TL0604,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Belulik Leten,TL050202,,,,Fatumean,TL0502,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Bemori,TL060203,,,,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Bene-Ufe,TL120202,,,,Nitibe,TL1202,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Bereleu,TL020205,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Beremana,TL100402,,,,Turiscai,TL1004,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Betano,TL100104,,,,Same,TL1001,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Betulau,TL020203,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Bibileo,TL130404,,,,Viqueque,TL1304,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Biceli,TL060405,,,,Atauro,TL0604,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Bidau Lecidere,TL060205,,,,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Bidau Santana,TL060607,,,,Cristo Rei,TL0606,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Bobocase,TL120107,,,,Pante Macassar,TL1201,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Bobometo,TL120301,,,,Oesilo,TL1203,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Bobonaro,TL040603,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Bualale,TL030306,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Bubususo,TL100301,,,,Fatuberliu,TL1003,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Bucoli,TL030102,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Buibau,TL030104,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Builale,TL130202,,,,Ossu,TL1302,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Buruma,TL030103,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Cacavem,TL090104,,,,Lospalos,TL0901,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Caibada,TL030111,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Caicasa,TL100305,,,,Fatuberliu,TL1003,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Caicoli,TL060104,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Caicua,TL030507,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Caimauc,TL100403,,,,Turiscai,TL1004,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Cainliu,TL090302,,,,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Cairui,TL110203,,,,Laleia,TL1102,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Camea,TL060603,,,,Cristo Rei,TL0606,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Camenaça,TL050504,Camenaca,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Carabau,TL040604,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Caraubalo,TL130407,,,,Viqueque,TL1304,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Casabauc,TL050604,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Cassa,TL010105,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Catrai-Craic,TL070304,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Catrai Leten,TL070305,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Clacuc,TL100302,,,,Fatuberliu,TL1003,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Coliate-Leotelo,TL070502,,,,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Colimau,TL040605,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Colmera,TL060105,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Com,TL090202,,,,Lautém,TL0902,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Comoro,TL060503,,,,Dom Aleixo,TL0605,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Costa,TL120104,,,,Pante Macassar,TL1201,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Cotabot,TL040606,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Cotamutu,TL090403,,,,Luro,TL0904,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Cotolau,TL020401,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Cowa,TL040303,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Cribas,TL110101,,,,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Culu Hun,TL060601,,,,Cristo Rei,TL0606,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Cunha,TL120103,,,,Pante Macassar,TL1201,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Daisua,TL100105,,,,Same,TL1001,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Dare,TL060107,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Darulete,TL080203,,,,Liquiçá,TL0802,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Dato,TL080201,,,,Liquiçá,TL0802,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Dato Rua,TL050303,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Dato Tolu,TL050304,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Dau Udo,TL040206,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Daudare,TL090203,,,,Lautém,TL0902,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Debos,TL050502,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Defa Uassi,TL030408,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Deleco,TL070108,,,,Railaco,TL0701,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Deudet,TL040504,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Dilor,TL130504,,,,Lacluta,TL1305,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Dotic,TL100202,,,,Alas,TL1002,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Ducurai,TL070301,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Duyung (Sereia),TL060302,,,,Metinaro,TL0603,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Edi,TL010305,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Eraulo,TL070307,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Estado,TL070210,,,,Ermera,TL0702,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Euquisi,TL090204,,,,Lautém,TL0902,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Fadabloco,TL020305,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fahilebo,TL080102,,,,Bazartete,TL0801,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Fahinehan,TL100303,,,,Fatuberliu,TL1003,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Fahiria,TL020103,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fahisoi,TL020206,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fahisoi,TL020308,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fariuai,TL030107,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatisi,TL020405,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatu-Besi,TL010309,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatubolu,TL070512,,,,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
