admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Abancay,PE0301,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-14,
Acobamba,PE0902,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-14,
Acomayo,PE0802,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-14,
Aija,PE0202,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Alto Amazonas,PE1602,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-14,
Ambo,PE1002,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-14,
Andahuaylas,PE0302,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-14,
Angaraes,PE0903,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-14,
Anta,PE0803,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-14,
Antabamba,PE0303,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-14,
Antonio Raymondi,PE0203,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Arequipa,PE0401,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-14,
Ascope,PE1302,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-14,
Asuncion,PE0204,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Atalaya,PE2502,,,,Ucayali,PE25,Perú (el),PE,2015-07-24,2020-07-14,
Ayabaca,PE2002,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-14,
Aymaraes,PE0304,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-14,
Azangaro,PE2102,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-14,
Bagua,PE0102,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-14,
Barranca,PE1502,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-14,
Bellavista,PE2202,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-14,
Bolivar,PE1303,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-14,
Bolognesi,PE0205,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Bongara,PE0103,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-14,
Cajabamba,PE0602,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-14,
Cajamarca,PE0601,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-14,
Cajatambo,PE1503,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-14,
Calca,PE0804,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-14,
Callao,PE0701,,,,Callao,PE07,Perú (el),PE,2015-07-24,2020-07-14,
Camana,PE0402,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-14,
Canas,PE0805,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-14,
Canchis,PE0806,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-14,
Candarave,PE2302,,,,Tacna,PE23,Perú (el),PE,2015-07-24,2020-07-14,
Cañete,PE1505,Canete,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-14,
Cangallo,PE0502,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-14,
Canta,PE1504,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-14,
Carabaya,PE2103,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-14,
Caraveli,PE0403,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-14,
Carhuaz,PE0206,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Carlos Fermin Fitzcarrald,PE0207,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Casma,PE0208,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-14,
Castilla,PE0404,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-14,
Castrovirreyna,PE0904,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-14,
Caylloma,PE0405,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-14,
Celendin,PE0603,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-14,
Chachapoyas,PE0101,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-14,
Chanchamayo,PE1203,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-14,
Chepen,PE1304,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-14,
Chiclayo,PE1401,,,,Lambayeque,PE14,Perú (el),PE,2015-07-24,2020-07-14,
Chincha,PE1102,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-14,
