admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Ephraim Mogale,ZA9471,,,,Sekhukhune,ZA947,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
eThekwini,ZA5950,,,,eThekwini,ZA595,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Ga-Segonyana,ZA3452,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Gamagara,ZA3453,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
George,ZA1044,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Govan Mbeki,ZA8307,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Great Kei,ZA2123,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Greater Giyani,ZA9331,,,,Mopani,ZA933,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Greater Kokstad,ZA5433,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Greater Letaba,ZA9332,,,,Mopani,ZA933,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Greater Taung,ZA6394,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Greater Tubatse/Fetakgomo,ZA9476,,,,Sekhukhune,ZA947,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Greater Tzaneen,ZA9333,,,,Mopani,ZA933,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Hantam,ZA3065,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Hessequa,ZA1042,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
