admin1Name_en,admin1Name_ka,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ka,admin1AltName2_ka,admin0Name_en,admin0Name_ka,admin0Pcode,date,validOn,validTo
Tbilisi,ქ. თბილისი,GE11,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Autonomous Republic of Abkhazia,აფხაზეთი,GE12,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Guria,გურია,GE23,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Imereti,იმერეთი,GE26,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kakheti,კახეთი,GE29,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kvemo Kartli,ქვემო ქართლი,GE44,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Shida Kartli,შიდა ქართლი,GE47,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Provisional Administration,დროებითი ადმინისტრაცია,GE48,,,,,,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
