admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Acklins,BS01,,,,Bahamas,BS,2009-01-30,2020-11-13,
Berry Islands,BS02,,,,Bahamas,BS,2009-01-30,2020-11-13,
Biminis,BS03,,,,Bahamas,BS,2009-01-30,2020-11-13,
Black Point,BS04,,,,Bahamas,BS,2009-01-30,2020-11-13,
Cat Island,BS05,,,,Bahamas,BS,2009-01-30,2020-11-13,
Central Abaco,BS06,,,,Bahamas,BS,2009-01-30,2020-11-13,
Central Andros,BS07,,,,Bahamas,BS,2009-01-30,2020-11-13,
Central Eleuthera,BS08,,,,Bahamas,BS,2009-01-30,2020-11-13,
City of Freeport,BS09,,,,Bahamas,BS,2009-01-30,2020-11-13,
Crooked Island,BS10,,,,Bahamas,BS,2009-01-30,2020-11-13,
East Grand Bahama,BS11,,,,Bahamas,BS,2009-01-30,2020-11-13,
Exuma,BS12,,,,Bahamas,BS,2009-01-30,2020-11-13,
Grand Cay,BS13,,,,Bahamas,BS,2009-01-30,2020-11-13,
Harbour Island,BS14,,,,Bahamas,BS,2009-01-30,2020-11-13,
Hope Town,BS15,,,,Bahamas,BS,2009-01-30,2020-11-13,
Inagua,BS16,,,,Bahamas,BS,2009-01-30,2020-11-13,
Long Island,BS17,,,,Bahamas,BS,2009-01-30,2020-11-13,
Mangrove Cay,BS18,,,,Bahamas,BS,2009-01-30,2020-11-13,
Mayaguana,BS19,,,,Bahamas,BS,2009-01-30,2020-11-13,
Moore's Island,BS20,,,,Bahamas,BS,2009-01-30,2020-11-13,
New Providence,BS21,,,,Bahamas,BS,2009-01-30,2020-11-13,
North Abaco,BS22,,,,Bahamas,BS,2009-01-30,2020-11-13,
North Andros,BS23,,,,Bahamas,BS,2009-01-30,2020-11-13,
North Eleuthera,BS24,,,,Bahamas,BS,2009-01-30,2020-11-13,
Ragged Island,BS25,,,,Bahamas,BS,2009-01-30,2020-11-13,
Rum Cay,BS26,,,,Bahamas,BS,2009-01-30,2020-11-13,
San Salvador,BS27,,,,Bahamas,BS,2009-01-30,2020-11-13,
South Abaco,BS28,,,,Bahamas,BS,2009-01-30,2020-11-13,
South Andros,BS29,,,,Bahamas,BS,2009-01-30,2020-11-13,
South Eleuthera,BS30,,,,Bahamas,BS,2009-01-30,2020-11-13,
Spanish Wells,BS31,,,,Bahamas,BS,2009-01-30,2020-11-13,
West Grand Bahama,BS32,,,,Bahamas,BS,2009-01-30,2020-11-13,
