admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Abassiya,العباسية,SD07090,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Hamad,أبو حمد,SD16008,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Hujar,أبو حجار,SD14037,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Jabrah,أبو جابرة,SD05140,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Jubayhah,أبو جبيهة,SD07088,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Karinka,أبو كارنكا,SD05155,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Kershola,أبو كرشولا,SD07104,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abu Zabad,أبو زبد,SD18028,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Abyei,أبيي,SD18087,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Dabbah,الدبة,SD17019,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Dali,الدالي,SD14039,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Damar,الدامر,SD16011,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Dinder,الدندر,SD14040,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Diwaim,الدويم,SD09044,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ad Du'ayn,الضعين,SD05142,Ad Duayn,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Adila,عديلة,SD05139,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ag Geneina,الجنينة,SD04115,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Agig,عقيق,SD10072,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Aj Jabalain,الجبلين,SD09051,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Buhaira,البحيرة,SD16014,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Buram,البرام,SD07099,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Burgaig,البرقيق,SD17016,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Butanah,البطانة,SD12073,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Dibab,الدبب,SD18103,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Fao,الفاو,SD12074,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Fashaga,الفشقة,SD12075,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Fasher,الفاشر,SD02114,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Firdous,الفردوس,SD05152,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Galabat Al Gharbyah - Kassab,القلابات الغربية - كساب,SD12078,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Ganab,القنب,SD10069,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Gitaina,القطينة,SD09050,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Golid,القولد,SD17018,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Hasahisa,الحصاحيصا,SD15034,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Idia,الأضية,SD18104,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Kamlin,الكاملين,SD15035,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Khiwai,الخوي,SD18105,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Koma,الكومة,SD02116,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Kurmuk,الكرمك,SD08106,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Lagowa,لقاوة,SD18102,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Lait,اللعيت,SD02169,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Leri,الليري,SD07105,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Mafaza,المفازة,SD12082,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Malha,المالحة,SD02117,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Manaqil,المناقل,SD15036,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Matama,المتمة,SD16009,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Meiram,الميرم,SD18106,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Quoz,القوز,SD07094,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Qurashi,القرشي,SD15037,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Qureisha,القريشة,SD12076,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Radoum,الردوم,SD03141,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Al Wihda,الوحدة,SD03150,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
An Nuhud,النهود,SD18022,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ar Rahad,الرهد,SD12084,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ar Rahad,الرهد,SD13030,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ar Rashad,الرشاد,SD07093,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ar Reif Ash Shargi,الريف الشرقي,SD07097,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ar Rusayris,الروصيرص,SD08107,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Salam - SD,السلام - ج د,SD03166,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Salam - WK,السلام - غ ك,SD18086,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Salam / Ar Rawat,السلام / الراوات,SD09049,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Serief,السريف,SD02118,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Suki,السوكي,SD14041,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Sunta,السنطة,SD03156,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
As Sunut,السنوط,SD18092,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Assalaya,عسلاية,SD05163,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
At Tadamon - BN,التضامن - ن ق,SD08108,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
At Tadamon - SK,التضامن - ج ك,SD07106,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
At Tawisha,الطويشة,SD02119,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
At Tina,الطينة,SD02171,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Atbara,عطبرة,SD16012,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Azum,أزوم,SD06110,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Babanusa,بابنوسة,SD18100,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Bahr Al Arab,بحر العرب,SD05160,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Bahri,بحري,SD01003,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Bara,بارا,SD13026,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Barbar,بربر,SD16013,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Basundah,باسندة,SD12077,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Baw,باو,SD08104,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
