admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Komo,GA001001,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2018-08-15,
Komo-Mondah,GA001002,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2018-08-15,
Noya,GA001003,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2018-08-15,
Libreville,GA001004,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2018-08-15,
Djoue,GA002001,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Djouori-Agnili,GA002002,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Lebombi-Leyou,GA002003,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Lekabi-Lewolo,GA002004,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Lekoko,GA002005,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Lekoni-Lekori,GA002006,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Ogooue-Letili,GA002007,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Passa,GA002008,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Plateaux,GA002009,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Sebe-Brikolo,GA002010,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Bayi-Brikolo,GA002011,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2018-08-15,
Abanga-Bigne,GA003001,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2018-08-15,
Ogooue et Lacs,GA003002,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2018-08-15,
Boumi-Louetsi,GA004001,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Dola,GA004002,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Douya-Onoye,GA004003,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Louetsi-Bibaka,GA004004,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Louetsi-Wano,GA004005,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Ndolou,GA004006,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Ogoulou,GA004007,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Tsamba-Magotsi,GA004008,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Mougalaba,GA004009,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2018-08-15,
Basse-Banio,GA005001,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Douigni,GA005002,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Doutsila,GA005003,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Haute-Banio,GA005004,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Mougoutsi,GA005005,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Mongo,GA005006,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2018-08-15,
Ivindo,GA006001,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2018-08-15,
Lope,GA006002,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2018-08-15,
Mvoung,GA006003,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2018-08-15,
Zadie,GA006004,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2018-08-15,
Lolo-Bouenguidi,GA007001,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2018-08-15,
Lombo-Bouenguidi,GA007002,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2018-08-15,
Mouloundou,GA007003,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2018-08-15,
Offoue-Onoye,GA007004,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2018-08-15,
Bendje,GA008001,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2018-08-15,
Etimboue,GA008002,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2018-08-15,
Ndougou,GA008003,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2018-08-15,
Haut-Komo,GA009001,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2018-08-15,
Haut-Ntem,GA009002,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2018-08-15,
Ntem,GA009003,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2018-08-15,
Okano,GA009004,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2018-08-15,
Woleu,GA009005,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2018-08-15,
