admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Abbottabad,PK201,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bannu,PK202,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Batagram,PK203,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Buner,PK204,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Charsadda,PK205,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Chitral,PK206,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Dera Ismail Khan,PK207,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Hangu,PK208,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Haripur,PK209,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Karak,PK210,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kohat,PK211,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kohistan,PK212,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lakki Marwat,PK213,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lower Dir,PK214,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Malakand PA,PK215,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mansehra,PK216,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mardan,PK217,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Nowshera,PK218,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Peshawar,PK219,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Shangla,PK220,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Swabi,PK221,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Swat,PK222,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tank,PK229,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Upper Dir,PK230,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tor Ghar,PK231,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bajaur,PK232,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Khyber,PK233,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kurram,PK234,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mohmand,PK235,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
North Waziristan,PK236,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Orakzai,PK237,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
South Waziristan,PK238,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Bannu,PK239,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Dera Ismail Khan,PK240,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Kohat,PK241,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Lakki Marwat,PK242,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Peshawar,PK243,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
FR Tank,PK244,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Islamabad,PK501,,,,Federal Capital Territory,PK5,Pakistan,PK,2018-12-26,2019-11-10,
Attock,PK601,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bahawalnagar,PK602,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bahawalpur,PK603,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bhakkar,PK604,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chakwal,PK605,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chiniot,PK606,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Dera Ghazi Khan,PK607,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Faisalabad,PK608,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gujranwala,PK609,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gujrat,PK610,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Hafizabad,PK611,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jhang,PK612,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jhelum,PK613,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kasur,PK614,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Khanewal,PK615,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Khushab,PK616,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Lahore,PK617,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Layyah,PK618,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Lodhran,PK619,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mandi Bahauddin,PK620,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mianwali,PK621,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Multan,PK622,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Muzaffargarh,PK623,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Nankana Sahib,PK624,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Narowal,PK625,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Okara,PK626,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pakpattan,PK627,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rahim Yar Khan,PK628,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rajanpur,PK629,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Rawalpindi,PK630,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sahiwal,PK631,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sargodha,PK632,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sheikhupura,PK633,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sialkot,PK634,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Toba Tek Singh,PK635,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Vehari,PK636,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Awaran,PK701,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Barkhan,PK702,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Chagai,PK704,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Dera Bugti,PK705,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Gwadar,PK706,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Harnai,PK707,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jaffarabad,PK708,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Jhal Magsi,PK709,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kalat,PK710,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kachhi,PK711,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kech,PK712,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kharan,PK713,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Khuzdar,PK714,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Killa Abdullah,PK715,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Killa Saifullah,PK716,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Kohlu,PK717,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Las Bela,PK718,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Loralai,PK719,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Mastung,PK720,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Musakhel,PK721,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Nasirabad,PK722,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Nushki,PK723,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Panjgur,PK724,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Pishin,PK725,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Quetta,PK726,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sheerani,PK727,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sibi,PK728,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Washuk,PK729,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Zhob,PK730,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Ziarat,PK731,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Lehri,PK732,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Sohbatpur,PK733,,,,Balochistan,PK7,Pakistan,PK,2018-12-26,2019-11-10,
Badin,PK801,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Dadu,PK802,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Ghotki,PK803,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Hyderabad,PK804,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jacobabad,PK805,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Jamshoro,PK806,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Karachi City,PK807,,Karachi,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Kashmore,PK808,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Khairpur,PK809,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Larkana,PK810,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Matiari,PK811,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Mirpur Khas,PK812,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Naushahro Feroze,PK813,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sanghar,PK814,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Qambar Shahdadkot,PK815,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shaheed Benazirabad,PK816,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Shikarpur,PK817,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sukkur,PK818,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Allah Yar,PK819,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tando Muhammad Khan,PK820,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Tharparkar,PK821,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Thatta,PK822,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Umerkot,PK823,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
Sujawal,PK824,,,,Sindh,PK8,Pakistan,PK,2018-12-26,2019-11-10,
