admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Fort-de-France,MQ01,Fort-de-France,,,Martinique,MQ,2017-09-09,2020-02-17,
Le Marin,MQ02,Le Marin,,,Martinique,MQ,2017-09-09,2020-02-17,
Saint-Pierre,MQ03,Saint-Pierre,,,Martinique,MQ,2017-09-09,2020-02-17,
La Trinité,MQ04,La Trinite,,,Martinique,MQ,2017-09-09,2020-02-17,
