admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bouenza,CG01,,,,Congo (le),CG,2017-07-06,2021-12-31,
Brazzaville,CG02,,,,Congo (le),CG,2017-07-06,2021-12-31,
Cuvette,CG03,,,,Congo (le),CG,2017-07-06,2021-12-31,
Cuvette-Ouest,CG04,,,,Congo (le),CG,2017-07-06,2021-12-31,
Kouilou,CG05,,,,Congo (le),CG,2017-07-06,2021-12-31,
Lekoumou,CG06,,,,Congo (le),CG,2017-07-06,2021-12-31,
Likouala,CG07,,,,Congo (le),CG,2017-07-06,2021-12-31,
Niari,CG08,,,,Congo (le),CG,2017-07-06,2021-12-31,
Plateaux,CG09,,,,Congo (le),CG,2017-07-06,2021-12-31,
Point-Noire,CG10,,,,Congo (le),CG,2017-07-06,2021-12-31,
Pool,CG11,,,,Congo (le),CG,2017-07-06,2021-12-31,
Sangha,CG12,,,,Congo (le),CG,2017-07-06,2021-12-31,
