admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Ainaro,TL01,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Aileu,TL02,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Baucau,TL03,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Bobonaro,TL04,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Covalima,TL05,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Dili,TL06,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Ermera,TL07,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Liquiçá,TL08,Liquica,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Lautém,TL09,Lautem,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Manufahi,TL10,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Manatuto,TL11,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Oecussi,TL12,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
Viqueque,TL13,,,,Timor-Leste,TL,2006-12-10,2020-09-16,
