admin1Name_en,admin1Name_sq,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_sq,admin1AltName2_sq,admin0Name_en,admin0Name_sq,admin0Pcode,date,validOn,validTo
Berat,Berat,AL01,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Diber,Dibër,AL02,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Durres,Durrës,AL03,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Elbasan,Elbasan,AL04,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fier,Fier,AL05,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjirokaster,Gjirokastër,AL06,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Korce,Korçë,AL07,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kukes,Kukës,AL08,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lezhe,Lezhë,AL09,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shkoder,Shkodër,AL10,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Tirane,Tiranë,AL11,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Vlore,Vlorë,AL12,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
