admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ru,admin1AltName2_ru,admin1AltName1_ky,admin1AltName2_ky,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo
Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Naryn,Нарынская,Нарын,KG04000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Batken,Баткенская,Баткен,KG05000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Osh,Ошская,Ош,KG06000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Talas,Таласская,Талас,KG07000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Chui,Чуйская,Чүй,KG08000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Bishkek (city),г.Бишкек,Бишкек ш.,KG11000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
Osh (city),г.Ош,Ош ш.,KG21000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
