admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Cuenca,EC0101,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Giron,EC0102,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Gualaceo,EC0103,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Nabon,EC0104,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Paute,EC0105,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Pucara,EC0106,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Fernando,EC0107,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Isabel,EC0108,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sigsig,EC0109,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Oña,EC0110,Ona,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chordeleg,EC0111,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
El Pan,EC0112,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sevilla de Oro,EC0113,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guachapala,EC0114,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Camilo Ponce Enriquez,EC0115,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guaranda,EC0201,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Chillanes,EC0202,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Chimbo,EC0203,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Echeandia,EC0204,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Miguel,EC0205,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Caluma,EC0206,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Las Naves,EC0207,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Azogues,EC0301,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Biblian,EC0302,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Cañar,EC0303,Canar,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
La Troncal,EC0304,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
El Tambo,EC0305,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Deleg,EC0306,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Suscal,EC0307,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Tulcan,EC0401,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Bolivar,EC0402,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Espejo,EC0403,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Mira,EC0404,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Montufar,EC0405,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
San Pedro de Huaca,EC0406,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Latacunga,EC0501,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
La Mana,EC0502,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pangua,EC0503,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pujili,EC0504,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Salcedo,EC0505,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Saquisili,EC0506,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Sigchos,EC0507,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Riobamba,EC0601,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Alausi,EC0602,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Colta,EC0603,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Chambo,EC0604,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Chunchi,EC0605,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Guamote,EC0606,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Guano,EC0607,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Pallatanga,EC0608,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Penipe,EC0609,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Cumanda,EC0610,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Machala,EC0701,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
Arenillas,EC0702,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
Atahualpa,EC0703,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
Balsas,EC0704,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
Chilla,EC0705,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
El Guabo,EC0706,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
