qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:516:1:1,1,1603:45:16:516:0,1603:45:16:516:1:1,Zambezi,NA01,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:2,2,1603:45:16:516:0,1603:45:16:516:1:2,Erongo,NA02,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:3,3,1603:45:16:516:0,1603:45:16:516:1:3,Hardap,NA03,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:4,4,1603:45:16:516:0,1603:45:16:516:1:4,Karas,NA04,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:5,5,1603:45:16:516:0,1603:45:16:516:1:5,Kavango East,NA05,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:6,6,1603:45:16:516:0,1603:45:16:516:1:6,Khomas,NA06,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:7,7,1603:45:16:516:0,1603:45:16:516:1:7,Kunene,NA07,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:8,8,1603:45:16:516:0,1603:45:16:516:1:8,Ohangwena,NA08,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:9,9,1603:45:16:516:0,1603:45:16:516:1:9,Omaheke,NA09,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:10,10,1603:45:16:516:0,1603:45:16:516:1:10,Omusati,NA10,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:11,11,1603:45:16:516:0,1603:45:16:516:1:11,Oshana,NA11,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:12,12,1603:45:16:516:0,1603:45:16:516:1:12,Oshikoto,NA12,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:13,13,1603:45:16:516:0,1603:45:16:516:1:13,Otjozondjupa,NA13,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:14,14,1603:45:16:516:0,1603:45:16:516:1:14,Kavango West,NA14,Namibia,NA,2011-01-01,2020-05-04,
