#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:516:1:1,1,1603:45:16:516:0,1603:45:16:516:1:1,Zambezi,NA01,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:2,2,1603:45:16:516:0,1603:45:16:516:1:2,Erongo,NA02,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:3,3,1603:45:16:516:0,1603:45:16:516:1:3,Hardap,NA03,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:4,4,1603:45:16:516:0,1603:45:16:516:1:4,Karas,NA04,,//Karas,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:5,5,1603:45:16:516:0,1603:45:16:516:1:5,Kavango East,NA05,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:6,6,1603:45:16:516:0,1603:45:16:516:1:6,Khomas,NA06,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:7,7,1603:45:16:516:0,1603:45:16:516:1:7,Kunene,NA07,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:8,8,1603:45:16:516:0,1603:45:16:516:1:8,Ohangwena,NA08,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:9,9,1603:45:16:516:0,1603:45:16:516:1:9,Omaheke,NA09,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:10,10,1603:45:16:516:0,1603:45:16:516:1:10,Omusati,NA10,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:11,11,1603:45:16:516:0,1603:45:16:516:1:11,Oshana,NA11,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:12,12,1603:45:16:516:0,1603:45:16:516:1:12,Oshikoto,NA12,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:13,13,1603:45:16:516:0,1603:45:16:516:1:13,Otjozondjupa,NA13,,,,Namibia,NA,2011-01-01,2020-05-04,
1603:45:16:516:1:14,14,1603:45:16:516:0,1603:45:16:516:1:14,Kavango West,NA14,,,,Namibia,NA,2011-01-01,2020-05-04,
