#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5004,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:4:10040913,10040913,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040913,Amtali,BD10040913,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040915,10040915,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040915,Arpangashia,BD10040915,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040923,10040923,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040923,Atharagashia,BD10040923,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040939,10040939,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040939,Barabagi,BD10040939,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040943,10040943,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040943,Chhota Bagi,BD10040943,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040947,10040947,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040947,Chowra,BD10040947,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040963,10040963,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040963,Gulisakhali,BD10040963,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040971,10040971,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040971,Haldia,BD10040971,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040979,10040979,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040979,Karaibaria,BD10040979,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040987,10040987,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040987,Kukua,BD10040987,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040991,10040991,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040991,Nishanbaria,BD10040991,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040994,10040994,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040994,Pancha Koralia,BD10040994,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040995,10040995,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040995,Sarikkhali,BD10040995,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040996,10040996,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040996,Sonakata,BD10040996,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040999,10040999,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040999,Paurashava,BD10040999,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041923,10041923,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041923,Bamna,BD10041923,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041947,10041947,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041947,Bukabunia,BD10041947,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041971,10041971,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041971,Dauatala,BD10041971,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041995,10041995,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041995,Ramna,BD10041995,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042817,10042817,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042817,Ayla Patakata,BD10042817,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042819,10042819,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042819,Badarkhali,BD10042819,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042828,10042828,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042828,Barguna,BD10042828,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042838,10042838,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042838,Burir Char,BD10042838,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042847,10042847,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042847,Dhalua,BD10042847,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042857,10042857,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042857,Phuljhury,BD10042857,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042866,10042866,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042866,Gaurichanna,BD10042866,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042876,10042876,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042876,Keorabunia,BD10042876,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042885,10042885,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042885,M.Baliatali,BD10042885,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042895,10042895,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042895,Naltona,BD10042895,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042899,10042899,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042899,Paurashava,BD10042899,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044711,10044711,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044711,Betagi,BD10044711,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044723,10044723,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044723,Bibichini,BD10044723,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044735,10044735,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044735,Bura Mazumdar,BD10044735,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044747,10044747,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044747,Hosnabad,BD10044747,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044759,10044759,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044759,Kazirabad,BD10044759,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044771,10044771,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044771,Mokamia,BD10044771,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044783,10044783,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044783,Sarishamuri,BD10044783,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10044799,10044799,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100447,1603:45:16:50:4:10044799,Paurashava,BD10044799,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048511,10048511,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048511,Char Duanti,BD10048511,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048523,10048523,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048523,Kakchira,BD10048523,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048535,10048535,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048535,Kalmegha,BD10048535,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048547,10048547,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048547,Kanthaltali,BD10048547,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048559,10048559,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048559,Nachna Para,BD10048559,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048571,10048571,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048571,Patharghata,BD10048571,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048583,10048583,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048583,Raihanpur,BD10048583,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10048599,10048599,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100485,1603:45:16:50:4:10048599,Paurashava,BD10048599,,,,Patharghata,BD100485,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060213,10060213,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,1603:45:16:50:4:10060213,Bagdha,BD10060213,,,,Agailjhara,BD100602,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060215,10060215,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,1603:45:16:50:4:10060215,Bakal,BD10060215,,,,Agailjhara,BD100602,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060247,10060247,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,1603:45:16:50:4:10060247,Gaila,BD10060247,,,,Agailjhara,BD100602,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060279,10060279,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,1603:45:16:50:4:10060279,Rajiher,BD10060279,,,,Agailjhara,BD100602,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060287,10060287,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100602,1603:45:16:50:4:10060287,Ratnapur,BD10060287,,,,Agailjhara,BD100602,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060313,10060313,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060313,Agarpur,BD10060313,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060327,10060327,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060327,Chandpasha,BD10060327,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060340,10060340,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060340,Dehergati,BD10060340,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060354,10060354,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060354,Kedarpur,BD10060354,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060367,10060367,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060367,Madhab Pasha,BD10060367,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060381,10060381,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100603,1603:45:16:50:4:10060381,Rahmatpur,BD10060381,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060712,10060712,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060712,Bhar Pasha,BD10060712,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060713,10060713,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060713,Charadi,BD10060713,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060720,10060720,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060720,Char Amaddi,BD10060720,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060727,10060727,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060727,Darial,BD10060727,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060733,10060733,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060733,Dudhal,BD10060733,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060740,10060740,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060740,Durga Pasha,BD10060740,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060747,10060747,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060747,Faridpur,BD10060747,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060754,10060754,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060754,Garuria,BD10060754,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060761,10060761,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060761,Kabai,BD10060761,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060767,10060767,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060767,Kalaskati,BD10060767,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060774,10060774,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060774,Nalua,BD10060774,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060781,10060781,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060781,Niamati,BD10060781,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060788,10060788,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060788,Padri Shibpur,BD10060788,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060794,10060794,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060794,Rangasree,BD10060794,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10060799,10060799,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100607,1603:45:16:50:4:10060799,Paurashava,BD10060799,,,,Bakerganj,BD100607,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061010,10061010,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061010,Banari Para,BD10061010,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061021,10061021,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061021,Baisari Para,BD10061021,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061031,10061031,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061031,Bisarkandi,BD10061031,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061042,10061042,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061042,Chakhar,BD10061042,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061052,10061052,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061052,Iluhar,BD10061052,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061063,10061063,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061063,Salia Bakpur,BD10061063,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061073,10061073,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061073,Saidkati,BD10061073,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061084,10061084,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061084,Udaykati,BD10061084,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10061099,10061099,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100610,1603:45:16:50:4:10061099,Paurashava,BD10061099,,,,Banari Para,BD100610,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10063223,10063223,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100632,1603:45:16:50:4:10063223,Barthi,BD10063223,,,,Gaurnadi,BD100632,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
