#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:44:101:0:1603:1:7:1:4:1,0_1603_1_7_1_4_1,,,,,,,[1603:44:86]
1603:44:101:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,,EticaAI
1603:44:101:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,,EticaAI
1603:44:101:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,,CC0-1.0
1603:44:101:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,,2022-03-12
1603:44:101:0:1603:1:7:2616:854:1,0_1603_1_7_2616_854_1,,,,,,,https://www.youtube.com/watch?v=s_-YueQMLRU||/TODO document/@eng-Latn
1603:44:101:0:1603:1:7:2616:854:2,0_1603_1_7_2616_854_2,,,,,,,https://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=27756&LangID=E||/TODO document/@eng-Latn
1603:44:101:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,,"`+//Dictiōnāria basibus de scielus contrā persōnam//+` (literal English translation: _Basic dictionaries about crimes against person_; person on singular) contains basic (id est, not fully detailed) concepts about crimes against humans at mostly at individual level and crimes against group of humans without intent of exterminate entire community (which have e dedicated dictionaries) for non-political reasons."
1603:44:101:100,100,,,,"/psychological, generic/@eng-Latn",,,
1603:44:101:100:1,100_1,,,Q34284,/blackmail || coercion based on threat of revealing information/@eng-Latn,,,
1603:44:101:300,300,,,Q181784,"/human trafficking || trade of humans for the purpose of forced labor, sexual slavery, or commercial sexual exploitation for the trafficker or others/@eng-Latn",,,
1603:44:101:400,400,,,Q10737,/suicide || intentional act of causing one's own death/@eng-Latn,,,
1603:44:101:500,500,,,Q149086,/homicide (generic) || killing of a human being by another human being/@eng-Latn,/#TODO get more itens from https://en.wikipedia.org/wiki/Template:Homicide#/@eng-Latn,,
1603:44:101:500:1,500_1,,,Q132821,/murder || unlawful killing of a human with malice aforethought/@eng-Latn,,,
1603:44:101:500:2,500_2,,,Q3882220,"/manslaughter || crime of killing of a human being by another human being, less serious than murder/@eng-Latn",/#TODO some languages use _negligent homicide_ and _manslaughter_ as synonymous. Not ideal#/@eng-Latn,,
1603:44:101:500:2:1,500_2_1,,,Q1295558,"/voluntary manslaughter || homicide where the offender had no prior intent to kill and acted during ""the heat of passion""/@eng-Latn",,,
1603:44:101:500:2:2,500_2_2,,,Q118322,/involuntary manslaughter || unlawful killing of another human with no intent to kill/@eng-Latn,,,
1603:44:101:500:3,500_3,,,Q641449,/negligent homicide || homicide caused by the negligence of another/@eng-Latn,/#TODO some languages use _negligent homicide_ and _manslaughter_ as synonymous. Not ideal#/@eng-Latn,,
1603:44:101:501,501,,,,/homicide (killing of family)/@eng-Latn,/#TODO extract more concepts from https://en.wikipedia.org/wiki/List_of_types_of_killing#/@eng-Latn,,
1603:44:101:501:1,501_1,,,Q2691275,"/honor killing || homicide of a member of a family or social group by other members, due to the belief that the victim has brought dishonor upon the family or community/@eng-Latn",,,
1603:44:101:503,503,,,Q2717573,/extra-judicial killing || intentional and unlawful killings of individuals by state actors without judicial process/@eng-Latn,,,
1603:44:101:503:1,503_1,,,Q1642263,/targeted killing || form of assassination carried by governments against their perceived enemies/@eng-Latn,,,
1603:44:101:700,700,,,,/sexual and gender-based violence (except killing)/@eng-Latn,,,
1603:44:101:700:1,700_1,,,Q558075,/sexual violence/@eng-Latn,,,
1603:44:101:700:10,700_10,,,Q47092,/rape/@eng-Latn,/#TODO extract more concepts from https://en.wikipedia.org/wiki/Types_of_rape#/@eng-Latn,,
1603:44:101:700:10:1,700_10_1,,,Q1968926,/statutory rape/@eng-Latn,,,
1603:44:101:700:10:1:1,700_10_1_1,,,Q1147070,/child grooming/@eng-Latn,,,
1603:44:101:700:10:2,700_10_2,,,Q23807951,/unacknowledged rape/@eng-Latn,,,
1603:44:101:700:10:4,700_10_4,,,Q1135287,/corrective rape || hate crime in which a person is raped because of their perceived sexual or gender orientation/@eng-Latn,,,
1603:44:101:700:10:10,700_10_10,,,Q8192354,/gang rape/@eng-Latn,,,
