#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_por+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_por+is_latn,#adm2+name+alt2+i_por+is_latn,#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:678:2:101,101,Pagué,ST0101,,,,Príncipe,ST01,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:201,201,Água Grande,ST0201,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:202,202,Cantagalo,ST0202,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:203,203,Caué,ST0203,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:204,204,Lembá,ST0204,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:205,205,Lobata,ST0205,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:2:206,206,Mé-Zóchi,ST0206,,,,São Tomé,ST02,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
