#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:24:3:1001001,1001001,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1001,1603:45:16:24:3:1001001,Ambriz,AO01001001,,,,Ambriz,AO01001,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1001002,1001002,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1001,1603:45:16:24:3:1001002,Bela Vista,AO01001002,,,,Ambriz,AO01001,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1001003,1001003,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1001,1603:45:16:24:3:1001003,Tabi,AO01001003,,,,Ambriz,AO01001,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002004,1002004,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002004,Barra do Dande,AO01002004,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002005,1002005,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002005,Caxito,AO01002005,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002006,1002006,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002006,Kikabo,AO01002006,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002007,1002007,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002007,Mabubas,AO01002007,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002008,1002008,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002008,Ucua,AO01002008,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1002299,1002299,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1002,1603:45:16:24:3:1002299,Funda,AO01002299,,,,Dande,AO01002,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1005017,1005017,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1005,1603:45:16:24:3:1005017,Gombe,AO01005017,,,,Nambuangongo,AO01005,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1005018,1005018,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1005,1603:45:16:24:3:1005018,Kage,AO01005018,,,,Nambuangongo,AO01005,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1005019,1005019,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1005,1603:45:16:24:3:1005019,Kanacassala,AO01005019,,,,Nambuangongo,AO01005,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:3:1005020,1005020,1603:45:16:24:0,1603:45:16:24:1:1,1603:45:16:24:2:1005,1603:45:16:24:3:1005020,Kicunzo,AO01005020,,,,Nambuangongo,AO01005,Bengo,AO01,Angola,AO,2018-08-30,2020-11-12,
