#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:188:1:1,1,1603:45:16:188:0,1603:45:16:188:1:1,San Jose,CR1,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:2,2,1603:45:16:188:0,1603:45:16:188:1:2,Alajuela,CR2,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:3,3,1603:45:16:188:0,1603:45:16:188:1:3,Cartago,CR3,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:4,4,1603:45:16:188:0,1603:45:16:188:1:4,Heredia,CR4,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:5,5,1603:45:16:188:0,1603:45:16:188:1:5,Guanacaste,CR5,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:6,6,1603:45:16:188:0,1603:45:16:188:1:6,Puntarenas,CR6,,,,Costa Rica,CR,2022-01-13,2022-02-09,
1603:45:16:188:1:7,7,1603:45:16:188:0,1603:45:16:188:1:7,Limon,CR7,,,,Costa Rica,CR,2022-01-13,2022-02-09,
