#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:275:2:101,101,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:101,Jenin,PS0101,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:105,105,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:105,Tubas,PS0105,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:110,110,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:110,Tulkarm,PS0110,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:115,115,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:115,Nablus,PS0115,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:120,120,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:120,Qalqilya,PS0120,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:125,125,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:125,Salfit,PS0125,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:130,130,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:130,Ramallah,PS0130,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:135,135,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:135,Jericho,PS0135,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:140,140,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:140,Jerusalem,PS0140,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:145,145,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:145,Bethlehem,PS0145,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:150,150,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:150,Hebron,PS0150,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:255,255,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:255,North Gaza,PS0255,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:260,260,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:260,Gaza,PS0260,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:265,265,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:265,Deir Al-Balah,PS0265,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:270,270,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:270,Khan Younis,PS0270,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:275,275,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:275,Rafah,PS0275,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
