#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:2:101,101,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:101,Bocas del Toro,PA0101,,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:102,102,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:102,Changuinola,PA0102,,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:103,103,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,Chiriquí Grande,PA0103,Chiriqui Grande,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:201,201,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,Alanje,PA0201,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:202,202,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,Barú,PA0202,Baru,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:203,203,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,Boquerón,PA0203,Boqueron,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:204,204,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,Boquete,PA0204,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:205,205,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,Bugaba,PA0205,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:206,206,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,David,PA0206,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:207,207,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,Dolega,PA0207,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:208,208,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,Gualaca,PA0208,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:209,209,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,Remedios,PA0209,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:210,210,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,Renacimiento,PA0210,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:211,211,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,San Félix,PA0211,San Felix,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:212,212,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,San Lorenzo,PA0212,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:213,213,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,Tolé,PA0213,Tole,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:2:301,301,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,Aguadulce,PA0301,,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
