qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,bul-Cyrl-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,bul-Cyrl-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:100:1:1,1,1603:45:16:100:0,1603:45:16:100:1:1,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:2,2,1603:45:16:100:0,1603:45:16:100:1:2,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:3,3,1603:45:16:100:0,1603:45:16:100:1:3,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:4,4,1603:45:16:100:0,1603:45:16:100:1:4,Gabrovo,Габрово,BG004,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:5,5,1603:45:16:100:0,1603:45:16:100:1:5,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:6,6,1603:45:16:100:0,1603:45:16:100:1:6,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:7,7,1603:45:16:100:0,1603:45:16:100:1:7,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:8,8,1603:45:16:100:0,1603:45:16:100:1:8,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:9,9,1603:45:16:100:0,1603:45:16:100:1:9,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:10,10,1603:45:16:100:0,1603:45:16:100:1:10,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:11,11,1603:45:16:100:0,1603:45:16:100:1:11,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:12,12,1603:45:16:100:0,1603:45:16:100:1:12,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:13,13,1603:45:16:100:0,1603:45:16:100:1:13,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:14,14,1603:45:16:100:0,1603:45:16:100:1:14,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:15,15,1603:45:16:100:0,1603:45:16:100:1:15,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:16,16,1603:45:16:100:0,1603:45:16:100:1:16,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:17,17,1603:45:16:100:0,1603:45:16:100:1:17,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:18,18,1603:45:16:100:0,1603:45:16:100:1:18,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:19,19,1603:45:16:100:0,1603:45:16:100:1:19,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:20,20,1603:45:16:100:0,1603:45:16:100:1:20,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:21,21,1603:45:16:100:0,1603:45:16:100:1:21,Sofia-City,София-град,BG021,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:22,22,1603:45:16:100:0,1603:45:16:100:1:22,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:23,23,1603:45:16:100:0,1603:45:16:100:1:23,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:24,24,1603:45:16:100:0,1603:45:16:100:1:24,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:25,25,1603:45:16:100:0,1603:45:16:100:1:25,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:26,26,1603:45:16:100:0,1603:45:16:100:1:26,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:27,27,1603:45:16:100:0,1603:45:16:100:1:27,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:28,28,1603:45:16:100:0,1603:45:16:100:1:28,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
