qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,por-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,por-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,por-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:132:2:1201,1201,1603:45:16:132:0,1603:45:16:132:1:12,1603:45:16:132:2:1201,Santa Catarina,CV1201,Santa Catarina,CV12,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1301,1301,1603:45:16:132:0,1603:45:16:132:1:13,1603:45:16:132:2:1301,Santa Catarina Do Fogo,CV1301,Santa Catarina Do Fogo,CV13,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1401,1401,1603:45:16:132:0,1603:45:16:132:1:14,1603:45:16:132:2:1401,Santiago Maior,CV1401,Santa Cruz,CV14,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1501,1501,1603:45:16:132:0,1603:45:16:132:1:15,1603:45:16:132:2:1501,Nossa Senhora Da Luz,CV1501,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1502,1502,1603:45:16:132:0,1603:45:16:132:1:15,1603:45:16:132:2:1502,Sao Nicolau Tolentino,CV1502,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1601,1601,1603:45:16:132:0,1603:45:16:132:1:16,1603:45:16:132:2:1601,Nossa Senhora Da Conceicao,CV1601,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1602,1602,1603:45:16:132:0,1603:45:16:132:1:16,1603:45:16:132:2:1602,Sao Lourenco,CV1602,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1701,1701,1603:45:16:132:0,1603:45:16:132:1:17,1603:45:16:132:2:1701,Sao Lourenco Dos Orgaos,CV1701,Sao Lourenco Dos Orgaos,CV17,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1801,1801,1603:45:16:132:0,1603:45:16:132:1:18,1603:45:16:132:2:1801,Sao Miguel Arcanjo,CV1801,Sao Miguel,CV18,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1901,1901,1603:45:16:132:0,1603:45:16:132:1:19,1603:45:16:132:2:1901,Sao Salvador Do Mundo,CV1901,Sao Salvador Do Mundo,CV19,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2001,2001,1603:45:16:132:0,1603:45:16:132:1:20,1603:45:16:132:2:2001,Nossa Senhora Da Luz,CV2001,Sao Vicente,CV20,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2101,2101,1603:45:16:132:0,1603:45:16:132:1:21,1603:45:16:132:2:2101,Santo Amaro Abade,CV2101,Tarrafal,CV21,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2201,2201,1603:45:16:132:0,1603:45:16:132:1:22,1603:45:16:132:2:2201,Sao Francisco De Assis,CV2201,Tarrafal De Sao Nicolau,CV22,Cabo Verde,CV,2017-12-27,2022-03-24,
