qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:360:1:71,71,1603:45:16:360:0,1603:45:16:360:1:71,Sulawesi Utara,ID71,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:72,72,1603:45:16:360:0,1603:45:16:360:1:72,Sulawesi Tengah,ID72,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:73,73,1603:45:16:360:0,1603:45:16:360:1:73,Sulawesi Selatan,ID73,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:74,74,1603:45:16:360:0,1603:45:16:360:1:74,Sulawesi Tenggara,ID74,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:75,75,1603:45:16:360:0,1603:45:16:360:1:75,Gorontalo,ID75,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:76,76,1603:45:16:360:0,1603:45:16:360:1:76,Sulawesi Barat,ID76,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:81,81,1603:45:16:360:0,1603:45:16:360:1:81,Maluku,ID81,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:82,82,1603:45:16:360:0,1603:45:16:360:1:82,Maluku Utara,ID82,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:91,91,1603:45:16:360:0,1603:45:16:360:1:91,Papua Barat,ID91,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:94,94,1603:45:16:360:0,1603:45:16:360:1:94,Papua,ID94,Indonesia,ID,2020-04-08,2020-04-08,
