#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:360:1:11,11,1603:45:16:360:0,1603:45:16:360:1:11,Aceh,ID11,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:12,12,1603:45:16:360:0,1603:45:16:360:1:12,Sumatera Utara,ID12,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:13,13,1603:45:16:360:0,1603:45:16:360:1:13,Sumatera Barat,ID13,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:14,14,1603:45:16:360:0,1603:45:16:360:1:14,Riau,ID14,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:15,15,1603:45:16:360:0,1603:45:16:360:1:15,Jambi,ID15,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:16,16,1603:45:16:360:0,1603:45:16:360:1:16,Sumatera Selatan,ID16,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:17,17,1603:45:16:360:0,1603:45:16:360:1:17,Bengkulu,ID17,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:18,18,1603:45:16:360:0,1603:45:16:360:1:18,Lampung,ID18,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:19,19,1603:45:16:360:0,1603:45:16:360:1:19,Kepulauan Bangka Belitung,ID19,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:21,21,1603:45:16:360:0,1603:45:16:360:1:21,Kepulauan Riau,ID21,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:31,31,1603:45:16:360:0,1603:45:16:360:1:31,Dki Jakarta,ID31,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:32,32,1603:45:16:360:0,1603:45:16:360:1:32,Jawa Barat,ID32,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:33,33,1603:45:16:360:0,1603:45:16:360:1:33,Jawa Tengah,ID33,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:34,34,1603:45:16:360:0,1603:45:16:360:1:34,Daerah Istimewa Yogyakarta,ID34,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:35,35,1603:45:16:360:0,1603:45:16:360:1:35,Jawa Timur,ID35,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:36,36,1603:45:16:360:0,1603:45:16:360:1:36,Banten,ID36,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:51,51,1603:45:16:360:0,1603:45:16:360:1:51,Bali,ID51,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:52,52,1603:45:16:360:0,1603:45:16:360:1:52,Nusa Tenggara Barat,ID52,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:53,53,1603:45:16:360:0,1603:45:16:360:1:53,Nusa Tenggara Timur,ID53,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:61,61,1603:45:16:360:0,1603:45:16:360:1:61,Kalimantan Barat,ID61,,,,Indonesia,ID,2020-04-08,2020-04-08,
