#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:266:1:1,1,Estuaire,GA001,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:2,2,Haut-Ogooue,GA002,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:3,3,Moyen-Ogooue,GA003,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:4,4,Ngounie,GA004,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:5,5,Nyanga,GA005,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:6,6,Ogooue-Ivindo,GA006,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:7,7,Ogooue-Lolo,GA007,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:8,8,Ogooue-Maritime,GA008,,,,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:9,9,Woleu-Ntem,GA009,,,,Gabon,GA,2015-02-17,2021-12-31,
