qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:266:1:1,1,1603:45:16:266:0,1603:45:16:266:1:1,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:2,2,1603:45:16:266:0,1603:45:16:266:1:2,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:3,3,1603:45:16:266:0,1603:45:16:266:1:3,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:4,4,1603:45:16:266:0,1603:45:16:266:1:4,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:5,5,1603:45:16:266:0,1603:45:16:266:1:5,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:6,6,1603:45:16:266:0,1603:45:16:266:1:6,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:7,7,1603:45:16:266:0,1603:45:16:266:1:7,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:8,8,1603:45:16:266:0,1603:45:16:266:1:8,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:1:9,9,1603:45:16:266:0,1603:45:16:266:1:9,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
