#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:100:2:1001,1001,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1001,Bansko,,BG001001,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1002,1002,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1002,Belitsa,,BG001002,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1003,1003,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1003,Blagoevgrad,,BG001003,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1004,1004,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1004,Garmen,,BG001004,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1005,1005,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1005,Gotse Delchev,,BG001005,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1006,1006,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1006,Hadzhidimovo,,BG001006,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1007,1007,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1007,Kresna,,BG001007,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1008,1008,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1008,Petrich,,BG001008,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1009,1009,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1009,Razlog,,BG001009,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1010,1010,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1010,Sandanski,,BG001010,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1011,1011,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1011,Satovcha,,BG001011,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1012,1012,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1012,Simitli,,BG001012,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1013,1013,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1013,Strumiani,,BG001013,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:1014,1014,1603:45:16:100:0,1603:45:16:100:1:1,1603:45:16:100:2:1014,Yakoruda,,BG001014,,,,,,Blagoevgrad,Благоевград,BG001,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2001,2001,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2001,Aitos,,BG002001,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2002,2002,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2002,Burgas,,BG002002,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2003,2003,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2003,Kameno,,BG002003,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2004,2004,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2004,Karnobat,,BG002004,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2005,2005,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2005,Malko Tarnovo,,BG002005,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2006,2006,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2006,Nesebar,,BG002006,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2007,2007,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2007,Pomorie,,BG002007,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2008,2008,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2008,Primorsko,,BG002008,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2009,2009,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2009,Ruen,,BG002009,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2010,2010,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2010,Sozopol,,BG002010,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2011,2011,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2011,Sredets,,BG002011,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2012,2012,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2012,Sungurlare,,BG002012,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:2013,2013,1603:45:16:100:0,1603:45:16:100:1:2,1603:45:16:100:2:2013,Tsarevo,,BG002013,,,,,,Burgas,Бургас,BG002,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3001,3001,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3001,Balchik,,BG003001,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3002,3002,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3002,Dobrich,,BG003002,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3003,3003,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3003,Dobrichka,,BG003003,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3004,3004,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3004,General Toshevo,,BG003004,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3005,3005,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3005,Kavarna,,BG003005,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3006,3006,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3006,Krushari,,BG003006,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3007,3007,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3007,Shabla,,BG003007,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:3008,3008,1603:45:16:100:0,1603:45:16:100:1:3,1603:45:16:100:2:3008,Tervel,,BG003008,,,,,,Dobrich,Добрич,BG003,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:4001,4001,1603:45:16:100:0,1603:45:16:100:1:4,1603:45:16:100:2:4001,Drianovo,,BG004001,,,,,,Gabrovo,Габрово,BG004,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:4002,4002,1603:45:16:100:0,1603:45:16:100:1:4,1603:45:16:100:2:4002,Gabrovo,,BG004002,,,,,,Gabrovo,Габрово,BG004,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:4003,4003,1603:45:16:100:0,1603:45:16:100:1:4,1603:45:16:100:2:4003,Sevlievo,,BG004003,,,,,,Gabrovo,Габрово,BG004,Bulgaria,България,BG,2019-09-16,2019-09-16,
