qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:152:1:1,1,1603:45:16:152:0,1603:45:16:152:1:1,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:2,2,1603:45:16:152:0,1603:45:16:152:1:2,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:3,3,1603:45:16:152:0,1603:45:16:152:1:3,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:4,4,1603:45:16:152:0,1603:45:16:152:1:4,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:5,5,1603:45:16:152:0,1603:45:16:152:1:5,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:6,6,1603:45:16:152:0,1603:45:16:152:1:6,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:7,7,1603:45:16:152:0,1603:45:16:152:1:7,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:8,8,1603:45:16:152:0,1603:45:16:152:1:8,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:9,9,1603:45:16:152:0,1603:45:16:152:1:9,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:10,10,1603:45:16:152:0,1603:45:16:152:1:10,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:11,11,1603:45:16:152:0,1603:45:16:152:1:11,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:12,12,1603:45:16:152:0,1603:45:16:152:1:12,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:13,13,1603:45:16:152:0,1603:45:16:152:1:13,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:14,14,1603:45:16:152:0,1603:45:16:152:1:14,Región de Los Ríos,CL14,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:15,15,1603:45:16:152:0,1603:45:16:152:1:15,Región de Arica y Parinacota,CL15,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:16,16,1603:45:16:152:0,1603:45:16:152:1:16,Región de Ñuble,CL16,Chile,CL,2021-08-03,2021-11-13,
