qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:170:2:5001,5001,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5001,Medellín,CO05001,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5002,5002,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5002,Abejorral,CO05002,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5004,5004,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5004,Abriaquí,CO05004,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5021,5021,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5021,Alejandría,CO05021,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5030,5030,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5030,Amagá,CO05030,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5031,5031,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5031,Amalfi,CO05031,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5034,5034,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5034,Andes,CO05034,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5036,5036,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5036,Angelópolis,CO05036,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5038,5038,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5038,Angostura,CO05038,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5040,5040,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5040,Anorí,CO05040,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5042,5042,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5042,Santa Fé de Antioquia,CO05042,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5044,5044,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5044,Anzá,CO05044,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5045,5045,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5045,Apartadó,CO05045,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5051,5051,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5051,Arboletes,CO05051,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5055,5055,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5055,Argelia,CO05055,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5059,5059,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5059,Armenia,CO05059,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5079,5079,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5079,Barbosa,CO05079,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5086,5086,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5086,Belmira,CO05086,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5088,5088,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5088,Bello,CO05088,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5091,5091,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5091,Betania,CO05091,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5093,5093,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5093,Betulia,CO05093,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5101,5101,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5101,Ciudad Bolívar,CO05101,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5107,5107,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5107,Briceño,CO05107,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5113,5113,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5113,Buriticá,CO05113,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5120,5120,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5120,Cáceres,CO05120,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5125,5125,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5125,Caicedo,CO05125,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5129,5129,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5129,Caldas,CO05129,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5134,5134,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5134,Campamento,CO05134,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5138,5138,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5138,Cañasgordas,CO05138,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5142,5142,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5142,Caracolí,CO05142,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5145,5145,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5145,Caramanta,CO05145,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5147,5147,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5147,Carepa,CO05147,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
