#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:170:2:5001,5001,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5001,Medellín,CO05001,Medellin,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5002,5002,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5002,Abejorral,CO05002,Abejorral,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5004,5004,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5004,Abriaquí,CO05004,Abriaqui,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5021,5021,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5021,Alejandría,CO05021,Alejandria,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5030,5030,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5030,Amagá,CO05030,Amaga,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5031,5031,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5031,Amalfi,CO05031,Amalfi,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5034,5034,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5034,Andes,CO05034,Andes,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5036,5036,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5036,Angelópolis,CO05036,Angelopolis,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5038,5038,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5038,Angostura,CO05038,Angostura,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5040,5040,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5040,Anorí,CO05040,Anori,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5042,5042,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5042,Santa Fé de Antioquia,CO05042,Santa Fe de Antioquia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5044,5044,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5044,Anzá,CO05044,Anza,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5045,5045,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5045,Apartadó,CO05045,Apartado,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5051,5051,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5051,Arboletes,CO05051,Arboletes,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
