qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,pol-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,pol-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:616:1:2,2,1603:45:16:616:0,1603:45:16:616:1:2,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:4,4,1603:45:16:616:0,1603:45:16:616:1:4,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:6,6,1603:45:16:616:0,1603:45:16:616:1:6,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:8,8,1603:45:16:616:0,1603:45:16:616:1:8,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:10,10,1603:45:16:616:0,1603:45:16:616:1:10,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:12,12,1603:45:16:616:0,1603:45:16:616:1:12,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:14,14,1603:45:16:616:0,1603:45:16:616:1:14,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:16,16,1603:45:16:616:0,1603:45:16:616:1:16,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:18,18,1603:45:16:616:0,1603:45:16:616:1:18,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:20,20,1603:45:16:616:0,1603:45:16:616:1:20,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:22,22,1603:45:16:616:0,1603:45:16:616:1:22,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:24,24,1603:45:16:616:0,1603:45:16:616:1:24,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:26,26,1603:45:16:616:0,1603:45:16:616:1:26,Świętokrzyskie,PL026,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:28,28,1603:45:16:616:0,1603:45:16:616:1:28,Warmińsko-Mazurskie,PL028,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:30,30,1603:45:16:616:0,1603:45:16:616:1:30,Wielkopolskie,PL030,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:32,32,1603:45:16:616:0,1603:45:16:616:1:32,Zachodniopomorskie,PL032,Polska,PL,2022-04-19,2022-04-19,
