#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:858:2:1002,1002,n.a2,UY01002,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1003,1003,n.a3,UY01003,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1004,1004,n.a4,UY01004,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1005,1005,n.a5,UY01005,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1006,1006,n.a6,UY01006,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1007,1007,n.a7,UY01007,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1008,1008,n.a8,UY01008,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:1009,1009,n.a9,UY01009,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2162,2162,n.a162,UY02162,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2165,2165,n.a165,UY02165,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2171,2171,n.a171,UY02171,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2172,2172,n.a172,UY02172,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2175,2175,n.a175,UY02175,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2181,2181,n.a181,UY02181,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2182,2182,n.a182,UY02182,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2183,2183,n.a183,UY02183,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2324,2324,n.a324,UY02324,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2338,2338,n.a338,UY02338,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2340,2340,n.a340,UY02340,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2342,2342,n.a342,UY02342,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2343,2343,n.a343,UY02343,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2344,2344,n.a344,UY02344,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2346,2346,n.a346,UY02346,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2347,2347,n.a347,UY02347,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2348,2348,n.a348,UY02348,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:2349,2349,n.a349,UY02349,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3034,3034,n.a34,UY03034,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3046,3046,n.a46,UY03046,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3047,3047,n.a47,UY03047,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3052,3052,n.a52,UY03052,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
