#meta,#meta+m49,#meta+archivum,#meta+iso3,#meta+sheets+original,#meta+sheets+new
1603:45:16:384,384,civ.xlsx,CIV,civ_adm3 civ_adm2 civ_adm1 civ_adm0,CIV_3 CIV_2 CIV_1 CIV_0
1603:45:16:120,120,cmr.xlsx,CMR,cmr_adm3 cmr_adm2 cmr_adm1 cmr_adm0,CMR_3 CMR_2 CMR_1 CMR_0
1603:45:16:180,180,cod.xlsx,COD,cod_adm2 cod_adm1 cod_adm0,COD_2 COD_1 COD_0
1603:45:16:178,178,cog.xlsx,COG,cog_adm2 cog_adm1 cog_adm0,COG_2 COG_1 COG_0
1603:45:16:170,170,col.xlsx,COL,col_adm2 col_adm1 col_adm0,COL_2 COL_1 COL_0
1603:45:16:174,174,com.xlsx,COM,com_adm3 com_adm2 com_adm1 com_adm0,COM_3 COM_2 COM_1 COM_0
1603:45:16:132,132,cpv.xlsx,CPV,cpv_adm2 cpv_adm1 cpv_adm0,CPV_2 CPV_1 CPV_0
1603:45:16:188,188,cri.xlsx,CRI,adm2 adm1 adm0,CRI_2 CRI_1 CRI_0
1603:45:16:262,262,dji.xlsx,DJI,dji_adm2 dji_adm1 dji_adm0,DJI_2 DJI_1 DJI_0
1603:45:16:212,212,dma.xlsx,DMA,dma_adm1 dma_adm0,DMA_1 DMA_0
1603:45:16:214,214,dom.xlsx,DOM,dom_adm4 dom_adm3 dom_adm2 dom_adm1 dom_adm0,DOM_4 DOM_3 DOM_2 DOM_1 DOM_0
1603:45:16:12,12,dza.xlsx,DZA,dza_adm2 dza_adm1 dza_adm0,DZA_2 DZA_1 DZA_0
1603:45:16:218,218,ecu.xlsx,ECU,ecu_adm3 ecu_adm2 ecu_adm1 ecu_adm0,ECU_3 ECU_2 ECU_1 ECU_0
1603:45:16:818,818,egy.xlsx,EGY,egy_adm3 egy_adm2 egy_adm1 egy_adm0,EGY_3 EGY_2 EGY_1 EGY_0
1603:45:16:232,232,eri.xlsx,ERI,eri_adm2 eri_adm1 eri_adm0,ERI_2 ERI_1 ERI_0
1603:45:16:231,231,eth.xlsx,ETH,adm3 adm2 adm1 adm0,ETH_3 ETH_2 ETH_1 ETH_0
1603:45:16:242,242,fji.xlsx,FJI,fji_adm3 fji_adm2 fji_adm1 fji_adm0,FJI_3 FJI_2 FJI_1 FJI_0
1603:45:16:583,583,fsm.xlsx,FSM,fsm_adm2 fsm_adm1 fsm_adm0,FSM_2 FSM_1 FSM_0
1603:45:16:266,266,gab.xlsx,GAB,gab_adm2 gab_adm1 gab_adm0,GAB_2 GAB_1 GAB_0
1603:45:16:268,268,geo.xlsx,GEO,geo_adm2 geo_adm1 geo_adm0,GEO_2 GEO_1 GEO_0
1603:45:16:288,288,gha.xlsx,GHA,gha_adm2 gha_adm1 gha_adm0,GHA_2 GHA_1 GHA_0
1603:45:16:324,324,gin.xlsx,GIN,gin_adm3 gin_adm2 gin_adm1 gin_adm0,GIN_3 GIN_2 GIN_1 GIN_0
1603:45:16:320,320,gtm.xlsx,GTM,gtm_adm2 gtm_adm1 gtm_adm0,GTM_2 GTM_1 GTM_0
1603:45:16:254,254,guf.xlsx,GUF,guf_adm2 guf_adm1 guf_adm0,GUF_2 GUF_1 GUF_0
1603:45:16:340,340,hnd.xlsx,HND,adm2 adm1 adm0,HND_2 HND_1 HND_0
1603:45:16:332,332,hti.xlsx,HTI,hti_adm3 hti_adm2 hti_adm1 hti_adm0,HTI_3 HTI_2 HTI_1 HTI_0
1603:45:16:360,360,idn.xlsx,IDN,idn_adm4 idn_adm3 idn_adm2 idn_adm1 idn_adm0,IDN_4 IDN_3 IDN_2 IDN_1 IDN_0
1603:45:16:364,364,irn.xlsx,IRN,irn_adm2 irn_adm1 irn_adm0,IRN_2 IRN_1 IRN_0
1603:45:16:368,368,irq.xlsx,IRQ,irq_adm3 irq_adm2 irq_adm1 irq_adm0,IRQ_3 IRQ_2 IRQ_1 IRQ_0
1603:45:16:398,398,kaz.xlsx,KAZ,kaz_adm2 kaz_adm1 kaz_adm0,KAZ_2 KAZ_1 KAZ_0
