#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_unm49,#item+rem+i_zxx+is_zmth+ix_admlevel,#meta+source
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/AFG_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/AFG_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/AFG_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/AGO_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/AGO_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/AGO_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/AGO_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/ARG_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/ARG_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/ARG_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/ARM_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/ARM_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/ARM_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/AZE_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/AZE_1.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BDI_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BDI_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BDI_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BEN_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BEN_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BEN_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BFA_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BFA_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BFA_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/BFA_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BGD_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BGD_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BGD_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/BGD_3.hxl.csv
1603:45:16::4,:4,,4,999999/1603/45/16/hxl/BGD_4.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BGR_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BGR_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BGR_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BLR_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BLR_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BLR_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BMU_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BMU_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BMU_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BOL_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BOL_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BOL_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/BOL_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BRA_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BRA_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BRA_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/BTN_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/BTN_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/BTN_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/CAF_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/CAF_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/CAF_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/CAF_3.hxl.csv
1603:45:16::4,:4,,4,999999/1603/45/16/hxl/CAF_4.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/CHL_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/CHL_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/CHL_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/CHL_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/CHN_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/CHN_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/CHN_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/CIV_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/CIV_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/CIV_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/CIV_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/CMR_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/CMR_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/CMR_2.hxl.csv
1603:45:16::3,:3,,3,999999/1603/45/16/hxl/CMR_3.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/COD_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/COD_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/COD_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/COG_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/COG_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/COG_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/COL_0.hxl.csv
1603:45:16::1,:1,,1,999999/1603/45/16/hxl/COL_1.hxl.csv
1603:45:16::2,:2,,2,999999/1603/45/16/hxl/COL_2.hxl.csv
1603:45:16::0,:0,,0,999999/1603/45/16/hxl/COM_0.hxl.csv
