#meta,#meta+m49,#meta+archivum,#meta+caput,#meta+level,#meta+language+#meta+hxlhashtag
1603:45:16:4,4,afg.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:4,4,afg.xlsx,admin2Name_da,2,da#adm2+name+i_da
1603:45:16:4,4,afg.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:4,4,afg.xlsx,admin2RefName,,
1603:45:16:4,4,afg.xlsx,admin2AltName1_en,2,en#adm2+name+i_en
1603:45:16:4,4,afg.xlsx,admin2AltName2_en,2,en#adm2+name+i_en
1603:45:16:4,4,afg.xlsx,admin2AltName1_da,2,da#adm2+name+i_da
1603:45:16:4,4,afg.xlsx,admin2AltName2_da,2,da#adm2+name+i_da
1603:45:16:4,4,afg.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:4,4,afg.xlsx,admin1Name_da,1,da#adm1+name+i_da
1603:45:16:4,4,afg.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:4,4,afg.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:4,4,afg.xlsx,admin0Name_da,0,da#adm0+name+i_da
1603:45:16:4,4,afg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:4,4,afg.xlsx,date,,#date
1603:45:16:4,4,afg.xlsx,validOn,,#date+valid_on
1603:45:16:4,4,afg.xlsx,validTo,,#date+valid_to
1603:45:16:4,4,afg.xlsx,regionName_en,,
1603:45:16:4,4,afg.xlsx,regionName_da,,
1603:45:16:4,4,afg.xlsx,regionCode,,
1603:45:16:4,4,afg.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:4,4,afg.xlsx,admin1Name_da,1,da#adm1+name+i_da
1603:45:16:4,4,afg.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:4,4,afg.xlsx,admin1RefName,,
1603:45:16:4,4,afg.xlsx,admin1AltName1_en,1,en#adm1+name+i_en
1603:45:16:4,4,afg.xlsx,admin1AltName2_en,1,en#adm1+name+i_en
1603:45:16:4,4,afg.xlsx,admin1AltName1_da,1,da#adm1+name+i_da
1603:45:16:4,4,afg.xlsx,admin1AltName2_da,1,da#adm1+name+i_da
1603:45:16:4,4,afg.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:4,4,afg.xlsx,admin0Name_da,0,da#adm0+name+i_da
1603:45:16:4,4,afg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:4,4,afg.xlsx,date,,#date
1603:45:16:4,4,afg.xlsx,validOn,,#date+valid_on
1603:45:16:4,4,afg.xlsx,validTo,,#date+valid_to
1603:45:16:4,4,afg.xlsx,regionName_en,,
1603:45:16:4,4,afg.xlsx,regionName_da,,
1603:45:16:4,4,afg.xlsx,regionCode,,
1603:45:16:4,4,afg.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:4,4,afg.xlsx,admin0Name_da,0,da#adm0+name+i_da
1603:45:16:4,4,afg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:4,4,afg.xlsx,admin0RefName,,
1603:45:16:4,4,afg.xlsx,admin0AltName1_en,0,en#adm0+name+i_en
1603:45:16:4,4,afg.xlsx,admin0AltName2_en,0,en#adm0+name+i_en
1603:45:16:4,4,afg.xlsx,admin0AltName1_da,0,da#adm0+name+i_da
1603:45:16:4,4,afg.xlsx,admin0AltName2_da,0,da#adm0+name+i_da
1603:45:16:4,4,afg.xlsx,date,,#date
1603:45:16:4,4,afg.xlsx,validOn,,#date+valid_on
1603:45:16:4,4,afg.xlsx,validTo,,#date+valid_to
1603:45:16:24,24,ago.xlsx,admin3Name_en,3,en#adm3+name+i_en
1603:45:16:24,24,ago.xlsx,admin3Pcode,,#adm3+code+pcode
1603:45:16:24,24,ago.xlsx,admin3RefName,,
1603:45:16:24,24,ago.xlsx,admin3AltName1_en,3,en#adm3+name+i_en
1603:45:16:24,24,ago.xlsx,admin3AltName2_en,3,en#adm3+name+i_en
1603:45:16:24,24,ago.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:24,24,ago.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:24,24,ago.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:24,24,ago.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:24,24,ago.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:24,24,ago.xlsx,date,,#date
1603:45:16:24,24,ago.xlsx,validOn,,#date+valid_on
1603:45:16:24,24,ago.xlsx,validTo,,#date+valid_to
1603:45:16:24,24,ago.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:24,24,ago.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:24,24,ago.xlsx,admin2RefName,,
1603:45:16:24,24,ago.xlsx,admin2AltName1_en,2,en#adm2+name+i_en
1603:45:16:24,24,ago.xlsx,admin2AltName2_en,2,en#adm2+name+i_en
1603:45:16:24,24,ago.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:24,24,ago.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:24,24,ago.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:24,24,ago.xlsx,date,,#date
1603:45:16:24,24,ago.xlsx,validOn,,#date+valid_on
1603:45:16:24,24,ago.xlsx,validTo,,#date+valid_to
1603:45:16:24,24,ago.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:24,24,ago.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:24,24,ago.xlsx,admin1RefName,,
1603:45:16:24,24,ago.xlsx,admin1AltName1_en,1,en#adm1+name+i_en
1603:45:16:24,24,ago.xlsx,admin1AltName2_en,1,en#adm1+name+i_en
1603:45:16:24,24,ago.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:24,24,ago.xlsx,date,,#date
1603:45:16:24,24,ago.xlsx,validOn,,#date+valid_on
1603:45:16:24,24,ago.xlsx,validTo,,#date+valid_to
1603:45:16:24,24,ago.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:24,24,ago.xlsx,admin0RefName,,
1603:45:16:24,24,ago.xlsx,admin0AltName1_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,admin0AltName2_en,0,en#adm0+name+i_en
1603:45:16:24,24,ago.xlsx,date,,#date
1603:45:16:24,24,ago.xlsx,validOn,,#date+valid_on
1603:45:16:24,24,ago.xlsx,validTo,,#date+valid_to
1603:45:16:32,32,arg.xlsx,admin2Name_es,2,es#adm2+name+i_es
1603:45:16:32,32,arg.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:32,32,arg.xlsx,admin2RefName,,
1603:45:16:32,32,arg.xlsx,admin2AltName1_es,2,es#adm2+name+i_es
1603:45:16:32,32,arg.xlsx,admin2AltName2_es,2,es#adm2+name+i_es
1603:45:16:32,32,arg.xlsx,admin1Name_es,1,es#adm1+name+i_es
1603:45:16:32,32,arg.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:32,32,arg.xlsx,admin0Name_es,0,es#adm0+name+i_es
1603:45:16:32,32,arg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:32,32,arg.xlsx,date,,#date
1603:45:16:32,32,arg.xlsx,validOn,,#date+valid_on
1603:45:16:32,32,arg.xlsx,validTo,,#date+valid_to
1603:45:16:32,32,arg.xlsx,admin1Name_es,1,es#adm1+name+i_es
1603:45:16:32,32,arg.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:32,32,arg.xlsx,admin1RefName,,
1603:45:16:32,32,arg.xlsx,admin1AltName1_es,1,es#adm1+name+i_es
1603:45:16:32,32,arg.xlsx,admin1AltName2_es,1,es#adm1+name+i_es
1603:45:16:32,32,arg.xlsx,admin0Name_es,0,es#adm0+name+i_es
1603:45:16:32,32,arg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:32,32,arg.xlsx,date,,#date
1603:45:16:32,32,arg.xlsx,validOn,,#date+valid_on
1603:45:16:32,32,arg.xlsx,validTo,,#date+valid_to
1603:45:16:32,32,arg.xlsx,admin0Name_es,0,es#adm0+name+i_es
1603:45:16:32,32,arg.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:32,32,arg.xlsx,admin0RefName,,
1603:45:16:32,32,arg.xlsx,admin0AltName1_es,0,es#adm0+name+i_es
1603:45:16:32,32,arg.xlsx,admin0AltName2_es,0,es#adm0+name+i_es
1603:45:16:32,32,arg.xlsx,date,,#date
1603:45:16:32,32,arg.xlsx,validOn,,#date+valid_on
1603:45:16:32,32,arg.xlsx,validTo,,#date+valid_to
1603:45:16:51,51,arm.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:51,51,arm.xlsx,admin2Name_hy,2,hy#adm2+name+i_hy
1603:45:16:51,51,arm.xlsx,admin2Name_ru,2,ru#adm2+name+i_ru
1603:45:16:51,51,arm.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:51,51,arm.xlsx,admin2RefName,,
1603:45:16:51,51,arm.xlsx,admin2AltName1_en,2,en#adm2+name+i_en
1603:45:16:51,51,arm.xlsx,admin2AltName2_en,2,en#adm2+name+i_en
1603:45:16:51,51,arm.xlsx,admin2AltName1_hy,2,hy#adm2+name+i_hy
1603:45:16:51,51,arm.xlsx,admin2AltName2_hy,2,hy#adm2+name+i_hy
1603:45:16:51,51,arm.xlsx,admin2AltName1_ru,2,ru#adm2+name+i_ru
1603:45:16:51,51,arm.xlsx,admin2AltName2_ru,2,ru#adm2+name+i_ru
1603:45:16:51,51,arm.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:51,51,arm.xlsx,admin1Name_hy,1,hy#adm1+name+i_hy
1603:45:16:51,51,arm.xlsx,admin1Name_ru,1,ru#adm1+name+i_ru
1603:45:16:51,51,arm.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:51,51,arm.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:51,51,arm.xlsx,admin0Name_hy,0,hy#adm0+name+i_hy
1603:45:16:51,51,arm.xlsx,admin0Name_ru,0,ru#adm0+name+i_ru
1603:45:16:51,51,arm.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:51,51,arm.xlsx,date,,#date
1603:45:16:51,51,arm.xlsx,validOn,,#date+valid_on
1603:45:16:51,51,arm.xlsx,validTo,,#date+valid_to
1603:45:16:51,51,arm.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:51,51,arm.xlsx,admin1Name_hy,1,hy#adm1+name+i_hy
1603:45:16:51,51,arm.xlsx,admin1Name_ru,1,ru#adm1+name+i_ru
1603:45:16:51,51,arm.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:51,51,arm.xlsx,admin1RefName,,
1603:45:16:51,51,arm.xlsx,admin1AltName1_en,1,en#adm1+name+i_en
1603:45:16:51,51,arm.xlsx,admin1AltName2_en,1,en#adm1+name+i_en
1603:45:16:51,51,arm.xlsx,admin1AltName1_hy,1,hy#adm1+name+i_hy
1603:45:16:51,51,arm.xlsx,admin1AltName2_hy,1,hy#adm1+name+i_hy
1603:45:16:51,51,arm.xlsx,admin1AltName1_ru,1,ru#adm1+name+i_ru
1603:45:16:51,51,arm.xlsx,admin1AltName2_ru,1,ru#adm1+name+i_ru
1603:45:16:51,51,arm.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:51,51,arm.xlsx,admin0Name_hy,0,hy#adm0+name+i_hy
