#meta,#meta+archivum,#meta+caput
1603.45.16:,arm.xlsx,admin1RefName
1603.45.16:,arm.xlsx,admin1AltName1_en
1603.45.16:,arm.xlsx,admin1AltName2_en
1603.45.16:,arm.xlsx,admin1AltName1_hy
1603.45.16:,arm.xlsx,admin1AltName2_hy
1603.45.16:,arm.xlsx,admin1AltName1_ru
1603.45.16:,arm.xlsx,admin1AltName2_ru
1603.45.16:,arm.xlsx,admin0Name_en
1603.45.16:,arm.xlsx,admin0Name_hy
1603.45.16:,arm.xlsx,admin0Name_ru
1603.45.16:,arm.xlsx,admin0Pcode
1603.45.16:,arm.xlsx,date
1603.45.16:,arm.xlsx,validOn
1603.45.16:,arm.xlsx,validTo
1603.45.16:,arm.xlsx,admin0Name_en
1603.45.16:,arm.xlsx,admin0Name_hy
1603.45.16:,arm.xlsx,admin0Name_ru
1603.45.16:,arm.xlsx,admin0Pcode
1603.45.16:,arm.xlsx,admin0RefName
1603.45.16:,arm.xlsx,admin0AltName1_en
1603.45.16:,arm.xlsx,admin0AltName2_en
1603.45.16:,arm.xlsx,admin0AltName1_hy
1603.45.16:,arm.xlsx,admin0AltName2_hy
1603.45.16:,arm.xlsx,admin0AltName1_ru
1603.45.16:,arm.xlsx,admin0AltName2_ru
1603.45.16:,arm.xlsx,date
1603.45.16:,arm.xlsx,validOn
1603.45.16:,arm.xlsx,validTo
1603.45.16:,aze.xlsx,admin1Name_en
1603.45.16:,aze.xlsx,admin1Name_az
1603.45.16:,aze.xlsx,admin1Pcode
1603.45.16:,aze.xlsx,admin1RefName
1603.45.16:,aze.xlsx,admin1AltName1_en
1603.45.16:,aze.xlsx,admin1AltName2_en
1603.45.16:,aze.xlsx,admin1AltName1_az
1603.45.16:,aze.xlsx,admin1AltName2_az
1603.45.16:,aze.xlsx,admin0Name_en
1603.45.16:,aze.xlsx,admin0Name_az
1603.45.16:,aze.xlsx,admin0Pcode
1603.45.16:,aze.xlsx,date
1603.45.16:,aze.xlsx,validOn
1603.45.16:,aze.xlsx,validTo
1603.45.16:,aze.xlsx,admin0Name_en
1603.45.16:,aze.xlsx,admin0Name_az
1603.45.16:,aze.xlsx,admin0Pcode
1603.45.16:,aze.xlsx,admin0RefName
1603.45.16:,aze.xlsx,admin0AltName1_en
1603.45.16:,aze.xlsx,admin0AltName2_en
1603.45.16:,aze.xlsx,admin0AltName1_az
1603.45.16:,aze.xlsx,admin0AltName2_az
1603.45.16:,aze.xlsx,date
