#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_por+is_latn,#adm1+name+alt2+i_por+is_latn,#country+name+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:132:1:1,1,1603:45:16:132:0,1603:45:16:132:1:1,Boa Vista,CV01,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:2,2,1603:45:16:132:0,1603:45:16:132:1:2,Brava,CV02,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:3,3,1603:45:16:132:0,1603:45:16:132:1:3,Maio,CV03,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:4,4,1603:45:16:132:0,1603:45:16:132:1:4,Mosteiros,CV04,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:5,5,1603:45:16:132:0,1603:45:16:132:1:5,Paul,CV05,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:6,6,1603:45:16:132:0,1603:45:16:132:1:6,Porto Novo,CV06,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:7,7,1603:45:16:132:0,1603:45:16:132:1:7,Praia,CV07,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:8,8,1603:45:16:132:0,1603:45:16:132:1:8,Ribeira Brava,CV08,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:9,9,1603:45:16:132:0,1603:45:16:132:1:9,Ribeira Grande,CV09,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:10,10,1603:45:16:132:0,1603:45:16:132:1:10,Ribeira Grande de Santiago,CV10,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:11,11,1603:45:16:132:0,1603:45:16:132:1:11,Sal,CV11,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:12,12,1603:45:16:132:0,1603:45:16:132:1:12,Santa Catarina,CV12,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:13,13,1603:45:16:132:0,1603:45:16:132:1:13,Santa Catarina Do Fogo,CV13,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:14,14,1603:45:16:132:0,1603:45:16:132:1:14,Santa Cruz,CV14,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:15,15,1603:45:16:132:0,1603:45:16:132:1:15,Sao Domingos,CV15,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:16,16,1603:45:16:132:0,1603:45:16:132:1:16,Sao Filipe,CV16,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:17,17,1603:45:16:132:0,1603:45:16:132:1:17,Sao Lourenco Dos Orgaos,CV17,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:18,18,1603:45:16:132:0,1603:45:16:132:1:18,Sao Miguel,CV18,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:19,19,1603:45:16:132:0,1603:45:16:132:1:19,Sao Salvador Do Mundo,CV19,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:20,20,1603:45:16:132:0,1603:45:16:132:1:20,Sao Vicente,CV20,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:21,21,1603:45:16:132:0,1603:45:16:132:1:21,Tarrafal,CV21,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:1:22,22,1603:45:16:132:0,1603:45:16:132:1:22,Tarrafal De Sao Nicolau,CV22,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
