qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,kat-Geor-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,kat-Geor-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:268:1:11,11,1603:45:16:268:0,1603:45:16:268:1:11,Tbilisi,ქ. თბილისი,GE11,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:12,12,1603:45:16:268:0,1603:45:16:268:1:12,Autonomous Republic of Abkhazia,აფხაზეთი,GE12,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:15,15,1603:45:16:268:0,1603:45:16:268:1:15,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:23,23,1603:45:16:268:0,1603:45:16:268:1:23,Guria,გურია,GE23,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:26,26,1603:45:16:268:0,1603:45:16:268:1:26,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:29,29,1603:45:16:268:0,1603:45:16:268:1:29,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:32,32,1603:45:16:268:0,1603:45:16:268:1:32,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:35,35,1603:45:16:268:0,1603:45:16:268:1:35,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:38,38,1603:45:16:268:0,1603:45:16:268:1:38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:41,41,1603:45:16:268:0,1603:45:16:268:1:41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:44,44,1603:45:16:268:0,1603:45:16:268:1:44,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:47,47,1603:45:16:268:0,1603:45:16:268:1:47,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
1603:45:16:268:1:48,48,1603:45:16:268:0,1603:45:16:268:1:48,Provisional Administration,დროებითი ადმინისტრაცია,GE48,Georgia,საქართველო,GE,2019-08-28,2020-05-20,
