#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_hxlhstg,#item+rem+i_qcc+is_zxxx+ix_hxlt,#item+rem+i_qcc+is_zxxx+ix_hxla,#meta
1,#item+conceptum+numerordinatio,#item,+conceptum+numerordinatio,/Austrian German/ (Abecedarium Latinum)
2,#item+conceptum+codicem,#item,+conceptum+codicem,/Austrian German/ (Abecedarium Latinum)
3,#item+rem+i_mul+is_zyyy,#item,+rem+i_mul+is_zyyy,Linguae multiplīs (Scrīptum incognitō)
4,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item,+rem+i_qcc+is_zxxx+ix_wikiq,Conceptus cōdicī (Non scrīptum linguae)
5,#item+rem+i_qcc+is_zxxx+ix_iso3950,#item,+rem+i_qcc+is_zxxx+ix_iso3950,Conceptus cōdicī (Non scrīptum linguae)
6,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item,+rem+i_qcc+is_zxxx+ix_hxlix,Conceptus cōdicī (Non scrīptum linguae)
7,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#item,+rem+i_qcc+is_zxxx+ix_hxlvoc,Conceptus cōdicī (Non scrīptum linguae)
8,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item,+rem+i_qcc+is_zxxx+ix_codexfacto,Conceptus cōdicī (Non scrīptum linguae)
