#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:616:2:2025,2025,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2025,Zgorzelecki,PL002025,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2026,2026,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2026,Zlotoryjski,PL002026,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2061,2061,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2061,Jelenia Gora,PL002061,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2062,2062,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2062,Legnica,PL002062,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2064,2064,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2064,Wroclaw,PL002064,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2065,2065,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2065,Walbrzych,PL002065,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4001,4001,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4001,Aleksandrowski,PL004001,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4002,4002,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4002,Brodnicki,PL004002,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4003,4003,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4003,Bydgoski,PL004003,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4004,4004,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4004,Chelminski,PL004004,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4005,4005,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4005,Golubsko-Dobrzynski,PL004005,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4006,4006,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4006,Grudziadzki,PL004006,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4007,4007,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4007,Inowroclawski,PL004007,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4008,4008,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4008,Lipnowski,PL004008,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4009,4009,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4009,Mogilenski,PL004009,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4010,4010,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4010,Nakielski,PL004010,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4011,4011,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4011,Radziejowski,PL004011,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4012,4012,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4012,Rypinski,PL004012,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4013,4013,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4013,Sepolenski,PL004013,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4014,4014,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4014,Swiecki,PL004014,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4015,4015,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4015,Torunski,PL004015,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4016,4016,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4016,Tucholski,PL004016,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4017,4017,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4017,Wabrzeski,PL004017,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4018,4018,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4018,Wloclawski,PL004018,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4019,4019,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4019,Zninski,PL004019,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4061,4061,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4061,Bydgoszcz,PL004061,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4062,4062,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4062,Grudziadz,PL004062,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4063,4063,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4063,Torun,PL004063,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:4064,4064,1603:45:16:616:0,1603:45:16:616:1:4,1603:45:16:616:2:4064,Wloclawek,PL004064,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6001,6001,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6001,Bialski,PL006001,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6002,6002,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6002,Bilgorajski,PL006002,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6003,6003,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6003,Chelmski,PL006003,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6004,6004,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6004,Hrubieszowski,PL006004,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6005,6005,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6005,Janowski,PL006005,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6006,6006,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6006,Krasnostawski,PL006006,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6007,6007,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6007,Krasnicki,PL006007,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6008,6008,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6008,Lubartowski,PL006008,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6009,6009,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6009,Lubelski,PL006009,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6010,6010,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6010,Leczynski,PL006010,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6011,6011,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6011,Lukowski,PL006011,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6012,6012,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6012,Opolski,PL006012,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6013,6013,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6013,Parczewski,PL006013,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6014,6014,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6014,Pulawski,PL006014,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6015,6015,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6015,Radzynski,PL006015,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6016,6016,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6016,Rycki,PL006016,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6017,6017,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6017,Swidnicki,PL006017,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6018,6018,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6018,Tomaszowski,PL006018,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6019,6019,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6019,Wlodawski,PL006019,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6020,6020,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6020,Zamojski,PL006020,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6061,6061,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6061,Biala Podlaska,PL006061,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6062,6062,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6062,Chelm,PL006062,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6063,6063,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6063,Lublin,PL006063,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:6064,6064,1603:45:16:616:0,1603:45:16:616:1:6,1603:45:16:616:2:6064,Zamosc,PL006064,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8001,8001,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8001,Gorzowski,PL008001,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8002,8002,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8002,Krosnienski,PL008002,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8003,8003,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8003,Miedzyrzecki,PL008003,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8004,8004,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8004,Nowosolski,PL008004,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8005,8005,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8005,Slubicki,PL008005,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8006,8006,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8006,Strzelecko-Drezdenecki,PL008006,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
