#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:616:2:10062,10062,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10062,Piotrkow Trybunalski,PL010062,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10063,10063,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10063,Skierniewice,PL010063,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12001,12001,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12001,Bochenski,PL012001,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12002,12002,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12002,Brzeski,PL012002,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12003,12003,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12003,Chrzanowski,PL012003,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12004,12004,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12004,Dabrowski,PL012004,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12005,12005,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12005,Gorlicki,PL012005,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12006,12006,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12006,Krakowski,PL012006,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12007,12007,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12007,Limanowski,PL012007,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12008,12008,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12008,Miechowski,PL012008,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12009,12009,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12009,Myslenicki,PL012009,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12010,12010,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12010,Nowosadecki,PL012010,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12011,12011,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12011,Nowotarski,PL012011,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12012,12012,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12012,Olkuski,PL012012,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12013,12013,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12013,Oswiecimski,PL012013,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12014,12014,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12014,Proszowicki,PL012014,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12015,12015,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12015,Suski,PL012015,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12016,12016,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12016,Tarnowski,PL012016,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12017,12017,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12017,Tatrzanski,PL012017,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12018,12018,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12018,Wadowicki,PL012018,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12019,12019,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12019,Wielicki,PL012019,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12061,12061,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12061,Krakow,PL012061,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12062,12062,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12062,Nowy Sacz,PL012062,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:12063,12063,1603:45:16:616:0,1603:45:16:616:1:12,1603:45:16:616:2:12063,Tarnow,PL012063,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14001,14001,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14001,Bialobrzeski,PL014001,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14002,14002,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14002,Ciechanowski,PL014002,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14003,14003,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14003,Garwolinski,PL014003,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14004,14004,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14004,Gostyninski,PL014004,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14005,14005,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14005,Grodziski,PL014005,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14006,14006,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14006,Grojecki,PL014006,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14007,14007,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14007,Kozienicki,PL014007,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14008,14008,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14008,Legionowski,PL014008,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14009,14009,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14009,Lipski,PL014009,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14010,14010,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14010,Losicki,PL014010,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14011,14011,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14011,Makowski,PL014011,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14012,14012,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14012,Minski,PL014012,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14013,14013,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14013,Mlawski,PL014013,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14014,14014,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14014,Nowodworski,PL014014,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14015,14015,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14015,Ostrolecki,PL014015,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14016,14016,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14016,Ostrowski,PL014016,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14017,14017,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14017,Otwocki,PL014017,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14018,14018,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14018,Piaseczynski,PL014018,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14019,14019,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14019,Plocki,PL014019,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14020,14020,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14020,Plonski,PL014020,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14021,14021,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14021,Pruszkowski,PL014021,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14022,14022,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14022,Przasnyski,PL014022,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14023,14023,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14023,Przysuski,PL014023,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14024,14024,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14024,Pultuski,PL014024,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14025,14025,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14025,Radomski,PL014025,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14026,14026,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14026,Siedlecki,PL014026,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14027,14027,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14027,Sierpecki,PL014027,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14028,14028,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14028,Sochaczewski,PL014028,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14029,14029,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14029,Sokolowski,PL014029,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14030,14030,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14030,Szydlowiecki,PL014030,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14032,14032,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14032,Warszawski Zachodni,PL014032,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14033,14033,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14033,Wegrowski,PL014033,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14034,14034,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14034,Wolominski,PL014034,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14035,14035,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14035,Wyszkowski,PL014035,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14036,14036,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14036,Zwolenski,PL014036,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14037,14037,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14037,Zurominski,PL014037,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14038,14038,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14038,Zyrardowski,PL014038,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14061,14061,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14061,Ostroleka,PL014061,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14062,14062,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14062,Plock,PL014062,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14063,14063,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14063,Radom,PL014063,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14064,14064,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14064,Siedlce,PL014064,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:14065,14065,1603:45:16:616:0,1603:45:16:616:1:14,1603:45:16:616:2:14065,Warszawa,PL014065,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16001,16001,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16001,Brzeski,PL016001,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16002,16002,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16002,Glubczycki,PL016002,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16003,16003,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16003,Kedzierzynsko-Kozielski,PL016003,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16004,16004,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16004,Kluczborski,PL016004,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16005,16005,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16005,Krapkowicki,PL016005,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16006,16006,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16006,Namyslowski,PL016006,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16007,16007,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16007,Nyski,PL016007,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16008,16008,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16008,Oleski,PL016008,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16009,16009,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16009,Opolski,PL016009,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16010,16010,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16010,Prudnicki,PL016010,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16011,16011,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16011,Strzelecki,PL016011,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:16061,16061,1603:45:16:616:0,1603:45:16:616:1:16,1603:45:16:616:2:16061,Opole,PL016061,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18001,18001,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18001,Bieszczadzki,PL018001,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18002,18002,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18002,Brzozowski,PL018002,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18003,18003,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18003,Debicki,PL018003,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18004,18004,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18004,Jaroslawski,PL018004,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18005,18005,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18005,Jasielski,PL018005,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18006,18006,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18006,Kolbuszowski,PL018006,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18007,18007,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18007,Krosnienski,PL018007,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18008,18008,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18008,Lezajski,PL018008,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18009,18009,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18009,Lubaczowski,PL018009,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18010,18010,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18010,Lancucki,PL018010,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18011,18011,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18011,Mielecki,PL018011,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18012,18012,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18012,Nizanski,PL018012,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18013,18013,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18013,Przemyski,PL018013,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18014,18014,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18014,Przeworski,PL018014,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18015,18015,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18015,Ropczycko-Sedziszowski,PL018015,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18016,18016,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18016,Rzeszowski,PL018016,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18017,18017,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18017,Sanocki,PL018017,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18018,18018,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18018,Stalowowolski,PL018018,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18019,18019,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18019,Strzyzowski,PL018019,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18020,18020,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18020,Tarnobrzeski,PL018020,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18021,18021,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18021,Leski,PL018021,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18061,18061,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18061,Krosno,PL018061,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18062,18062,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18062,Przemysl,PL018062,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18063,18063,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18063,Rzeszow,PL018063,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:18064,18064,1603:45:16:616:0,1603:45:16:616:1:18,1603:45:16:616:2:18064,Tarnobrzeg,PL018064,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20001,20001,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20001,Augustowski,PL020001,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20002,20002,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20002,Bialostocki,PL020002,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20003,20003,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20003,Bielski,PL020003,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20004,20004,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20004,Grajewski,PL020004,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20005,20005,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20005,Hajnowski,PL020005,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20006,20006,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20006,Kolnenski,PL020006,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20007,20007,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20007,Lomzynski,PL020007,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20008,20008,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20008,Moniecki,PL020008,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20009,20009,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20009,Sejnenski,PL020009,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20010,20010,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20010,Siemiatycki,PL020010,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20011,20011,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20011,Sokolski,PL020011,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20012,20012,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20012,Suwalski,PL020012,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20013,20013,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20013,Wysokomazowiecki,PL020013,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20014,20014,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20014,Zambrowski,PL020014,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20061,20061,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20061,Bialystok,PL020061,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20062,20062,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20062,Lomza,PL020062,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:20063,20063,1603:45:16:616:0,1603:45:16:616:1:20,1603:45:16:616:2:20063,Suwalki,PL020063,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22001,22001,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22001,Bytowski,PL022001,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22002,22002,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22002,Chojnicki,PL022002,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22003,22003,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22003,Czluchowski,PL022003,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22004,22004,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22004,Gdanski,PL022004,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22005,22005,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22005,Kartuski,PL022005,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22006,22006,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22006,Koscierski,PL022006,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22007,22007,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22007,Kwidzynski,PL022007,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22008,22008,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22008,Leborski,PL022008,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:22009,22009,1603:45:16:616:0,1603:45:16:616:1:22,1603:45:16:616:2:22009,Malborski,PL022009,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
